adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Россия, Самара, улица Виталия Талабаева, 2",40.0,5/16,2150000,1,,,53.146748,50.077151
"Россия, Самара, Гвардейская улица, 15",34.0,9/9,2000000,1,9,1972,53.234492,50.28009
"Россия, Самара, Красноармейская улица, 60",127.0,1/3,4690000,3,3,1917,53.191228,50.110569
"Россия, Самара, Кромская улица, 4",125.0,2/10,6600000,3,10.0,2007.0,53.233403,50.25367
"Россия, Самара, улица Карбышева, 71, подъезд 2",44.3,8/18,3000000,1,18.0,2010.0,53.209071,50.207659
"Россия, Самара, улица Победы, 98",72.0,4/4,3590000,3,5.0,1954.0,53.215348,50.253212
"Россия, Самара, Ставропольская улица, 92",42.2,1/3,2150000,2,3.0,1962.0,53.221905,50.231617
"Россия, Самара, Партизанская улица, 171В",33.0,9/10,2600000,1,5,1966,53.187154,50.197472
"Россия, Самара, Дачная улица, 25",70.0,1/9,3880000,3,12.0,1976.0,53.199034,50.143249
"Россия, Самара, проспект Кирова, 235",44.0,4/5,2700000,2,5,1967,53.235085,50.24431
"Россия, Самара, Береговая улица, 8В",49.0,1/3,2000000,1,3.0,1972.0,53.201353,50.288094
"Россия, Самара, Минская улица, 37",366.0,4/9,2000000,1,9,1980,53.235963,50.24625
"Россия, Самара, проспект Карла Маркса, 356",23.0,5/5,1150000,2,5.0,1971.0,53.237963,50.23539
"Россия, Самара, улица Стара Загора, 55",29.0,5/9,2100000,1,9.0,1968.0,53.229571,50.209922
"Россия, Самара, поселок Прибрежный, Звёздная улица, 11",31.0,2/5,1100000,1,5.0,1968.0,53.487182,49.847264
"Россия, Самара, поселок Прибрежный, Парусная улица, 12",52.0,1/5,1850000,3,5.0,1966.0,53.486844,49.851611
"Россия, Самара, Солнечная улица, 15",68.0,5/12,4450000,2,12,1987,53.241363,50.192854
"Россия, Самара, улица Георгия Димитрова, 25, подъезд 3",62.6,1/5,3050000,3,5,1970,53.252312,50.238273
"Россия, Самара, посёлок Рубежный, Охтинская улица, 16",34.1,2/2,1149000,1,2,1980,53.138332,50.2383
"Россия, Самара, улица Стара Загора, 181",59.8,9/9,3450000,3,9.0,1974.0,53.245114,50.235282
"Россия, Самарская область, Волжский район, село Рождествено, Спортивная улица",68.3,2/4,3800000,3,4.0,1975.0,53.24611,50.061296
"Россия, Самара, Нагорная улица, 148",85.0,9/10,5300000,4,10.0,1992.0,53.236335,50.256563
"Россия, Самара, проспект Металлургов, 96",44.0,3/5,2800000,2,5.0,1960.0,53.239283,50.279353
"Россия, Самара, Запорожская улица, 43",17.0,3/5,950000,1,5,1973,53.210242,50.220945
"Россия, Самара, Заводское шоссе, 71В",34.0,5/10,1900000,1,9,1981,53.209913,50.284537
"Россия, Самара, Красноармейская улица, 74",108.2,4/12,7900000,3,11,2001,53.189533,50.118429
"Россия, Самара, улица Свободы, 152А",30.0,1/2,1400000,1,,,53.224902,50.263956
"Россия, Самара, улица Алексея Толстого, 26",100.0,4/6,8700000,4,2.0,1917.0,53.180878,50.078481
"Россия, Самара, улица Венцека, 41/43",43.1,2/4,2200000,2,3.0,1917.0,53.184974,50.089342
"Россия, Самара, посёлок Соцгород, улица Игоря Егорова, 7",34.1,4/5,1550000,1,5.0,1994.0,53.107184,50.084661
"Россия, Самара, Красноармейская улица, 137",72.0,1/2,2800000,3,2.0,1950.0,53.188168,50.127484
"Россия, Самара, проспект Карла Маркса, 324",43.5,2/9,2550000,2,9,1969,53.235726,50.230548
"Россия, Самара, улица Георгия Димитрова, 77",60.0,7/9,3400000,3,9,1979,53.257317,50.229631
"Россия, Самара, улица Осипенко, 136",57.5,9/12,3700000,2,12.0,1979.0,53.201186,50.144875
"Россия, Самара, улица Стара Загора, 116",31.0,9/9,1950000,1,9.0,1979.0,53.24423,50.22399
"Россия, Самара, Куйбышевский район, посёлок Совхоз Волгарь, Новокомсомольская улица, 9",78.0,1/5,3600000,4,5,1979,53.154362,50.089404
"Россия, Самара, проспект Кирова, 130",90.0,2/10,5200000,3,10.0,2011.0,53.230918,50.247283
"Россия, Самара, улица Маршала Устинова, 7",31.0,2/3,1330000,1,5.0,1964.0,53.319619,50.314477
"Россия, Самара, Советская улица, 4",34.0,9/9,1950000,1,9.0,1984.0,53.22446,50.271457
"Россия, Самара, улица Дыбенко, 114",56.6,6/12,3699000,2,12,1994,53.20748,50.216902
"Россия, Самара, проспект Карла Маркса, 30",33.3,7/12,2200000,1,12.0,1979.0,53.199735,50.151855
"Россия, Самара, 6-я просека, 137",97.0,12/16,5650000,3,14,2004,53.247328,50.188641
"Россия, Самара, улица Георгия Димитрова, 110Б",73.0,6/17,4990000,2,17.0,2014.0,53.262278,50.222786
"Россия, Самара, Солнечная улица, 34",60.0,15/16,5600000,2,17.0,2013.0,53.254074,50.201712
"Россия, Самара, Крейсерная улица, 1А",53.7,2/10,2850000,2,10.0,2002.0,53.182497,50.208377
"Россия, Самара, улица Георгия Димитрова, 35",30.0,1/5,1900000,1,5.0,1970.0,53.253513,50.237402
"Россия, Самара, Клиническая улица, 20",44.0,6/9,2780000,2,9,1977,53.200787,50.137896
"Россия, Самара, Ленинская улица, 204",213.0,3/7,20500000,4,9,2002,53.197556,50.112329
"Россия, Самара, посёлок Соцгород, улица Игоря Егорова, 28",54.0,7/10,1800000,2,10.0,1995.0,53.112649,50.085191
"Россия, Самара, Революционная улица, 148",38.0,12/16,2500000,1,9,1971,53.194114,50.181051
"Россия, Самара, улица Карбышева, 71",46.0,3/19,2750000,1,18,2010,53.209282,50.207802
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 135",76.5,9/10,3200000,2,10.0,2011.0,53.142049,50.040294
"Россия, Самара, Межевая улица, 1",50.2,4/9,3750000,1,,1.0,53.224153,50.150202
"Россия, Самара, улица Николая Панова, 28",46.0,8/10,2980000,1,10.0,1989.0,53.214426,50.157721
"Россия, Самара, Воронежская улица, 214",41.1,1/9,2200000,2,9.0,1968.0,53.24105,50.222238
"Россия, Самара, Енисейская улица, 57",50.8,11/12,2649000,1,11,2001,53.239396,50.276407
"Россия, Самара, улица Волгина, 142",42.8,1/5,2400000,2,5.0,1963.0,53.19618,50.183332
"Россия, Самара, улица Лукачева, 36А",55.0,4/5,2700000,2,5,None,53.21406,50.170433
"Россия, Самара, улица 22 Партсъезда, 52",42.7,8/9,1800000,2,9.0,1987.0,53.214469,50.222957
"Россия, Самара, Республиканская улица, 67",55.0,4/4,2900000,3,4,1960,53.237143,50.27647
"Россия, Самара, Аэродромная улица, 123",45.0,3/5,2190000,2,5.0,1964.0,53.1916,50.209312
"Россия, Самара, Партизанская улица, 216",58.0,1/5,2650000,3,5.0,1964.0,53.188816,50.205413
"Россия, Самара, Демократическая улица, 2Б",80.0,11/20,5700000,2,20.0,2007.0,53.261437,50.213641
"Россия, Самара, Вольская улица, 59",29.3,5/5,1650000,1,5,1979,53.216443,50.239342
"Россия, Самара, Некрасовская улица, 70",47.0,2/2,1400000,3,2.0,1.0,53.188087,50.100544
"Россия, Самара, Отважная улица, 29",46.0,11/12,2950000,1,13.0,2011.0,53.207874,50.206787
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 36",38.0,1/3,1550000,1,3,2013,53.323873,50.312717
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Виталия Жалнина, 20",46.0,3/3,2500000,2,3.0,2013.0,53.314713,50.311513
"Россия, Самара, 7-я просека, 104",78.6,3/19,5690000,3,1,2014,53.256061,50.199484
"Россия, Самара, Севастопольская улица, 11",43.5,5/5,2500000,2,5.0,1963.0,53.220384,50.26843
"Россия, Самара, Ленинская улица, 119",150.0,7/9,14000000,4,9.0,2007.0,53.192226,50.110829
"Россия, Самара, Ташкентская улица, 210",68.0,7/9,3450000,3,9,1980,53.26315,50.234258
"Россия, Самара, Алма-Атинская улица, 80",74.0,3/5,3100000,4,5,1974,53.247797,50.267657
"Россия, Самара, Молодогвардейская улица, 139",152.1,10/25,21000000,5,,,53.200129,50.10702
"Россия, Самара, проспект Кирова, 415А",55.0,4/14,3600000,2,18.0,2016.0,53.258319,50.218654
"Россия, Самара, посёлок Соцгород, улица Игоря Егорова, 28",74.0,3/10,3050000,3,10,1995,53.112649,50.085191
"Россия, Самара, поселок Прибрежный, Звёздная улица, 5",56.0,1/5,2100000,3,5.0,1964.0,53.485628,49.848449
"Россия, Самара, улица Ерошевского, 76",52.6,5/5,3000000,2,5.0,1977.0,53.212091,50.166363
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 107А",43.0,1/5,2200000,2,5.0,1977.0,53.142805,50.04412
"Россия, Самара, Солнечная улица, 8",72.0,24/25,4250000,2,25,2015,53.240964,50.186476
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Николаевский проспект, 7",68.0,4/5,4000000,3,5,2014,53.11753,50.161171
"Россия, Самара, улица Елизарова, 26",72.5,1/5,2590000,2,,,53.228465,50.279847
"Россия, Самара, улица Алексея Толстого, 2",79.8,5/5,3000000,2,5,1,53.177667,50.077017
"Россия, Самара, улица Мичурина, 148",53.0,20/22,4000000,1,22.0,2013.0,53.217613,50.168977
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Николаевский проспект, 36, подъезд 2",28.0,6/7,1850000,1,10.0,2016.0,53.114319,50.148217
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, 38",49.6,2/3,1900000,2,3.0,2011.0,53.326283,50.313148
"Россия, Самара, Молодогвардейская улица, 69",31.9,3/3,2100000,1,3.0,1888.0,53.18901,50.098028
"Россия, Самара, посёлок Сухая Самарка, Флотская улица, 7",60.0,1/5,1899000,3,5,1965,53.14509,50.041048
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 23",45.0,2/3,2200000,2,3.0,2011.0,53.319172,50.309025
"Россия, Самара, Красноглинский район, посёлок Управленческий, Коптевская улица, 7",47.0,4/5,2200000,2,5.0,1972.0,53.34135,50.227529
"Россия, Самара, переулок Штамповщиков, 3",71.0,4/4,3200000,3,4.0,1967.0,53.215575,50.251622
"Россия, Самара, Ленинградская улица, 63",57.1,3/3,4800000,2,3,1917,53.186005,50.096456
"Россия, Самарская область, Волжский район, село Рождествено, Ново-Садовая улица",54.0,1/12,3500003,3,12.0,1972.0,53.235095,50.054667
"Россия, Самара, улица Потапова, 78В",48.0,5/18,2750000,1,19,2016,53.222579,50.189683
"Россия, Самара, Ново-Садовая улица, 106Н",57.2,5/22,4897000,1,22.0,2014.0,53.222039,50.153454
"Россия, Самара, посёлок Соцгород, Пугачевский тракт, 10, подъезд 1",62.8,1/5,2450000,4,5.0,1968.0,53.109417,50.079775
"Россия, Самара, улица Стара Загора, 222",50.3,12/12,2650000,2,12.0,1979.0,53.251127,50.250077
"Россия, Самара, проспект Кирова, 283",33.0,2/9,2150000,1,9.0,1972.0,53.243093,50.233952
"Россия, Самара, Московское шоссе, 286",69.3,9/12,3600000,3,12,1982,53.255076,50.227574
"Россия, Самара, 5-я просека, 106",64.0,8/9,4300000,2,10,2012,53.244785,50.185354
"Россия, Самара, улица Мичурина, 132",108.0,4/9,7800000,4,14.0,2007.0,53.215343,50.164567
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица Сергея Лазо, 2",44.0,1/5,1850000,2,,,53.346661,50.2095
"Россия, Самара, Партизанская улица, 242",48.0,4/5,2290000,2,5.0,1964.0,53.190931,50.210165
"Россия, Самара, Волжское шоссе, 119",46.5,4/14,2300000,1,14,2011,53.276495,50.263058
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 31",43.7,2/3,2150000,2,3,2012,53.316875,50.312447
"Россия, Самара, улица Советской Армии, 203",50.0,16/16,3600000,1,17.0,2012.0,53.229765,50.193771
"Россия, Самара, Московское шоссе, 57",96.0,16/19,6900000,3,21.0,2009.0,53.223802,50.193699
"Россия, Самара, 6-я просека, 155, подъезд 2",53.0,5/16,3500000,1,16,2006,53.244979,50.189576
