adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Россия, Санкт-Петербург, проспект Художников, 15А",30.7,1/9,2025,3150000,1,9,1974,60.039535,30.347183
"Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, Кудрово, жилой комплекс Новый Оккервиль",46.6,1/9,4905,5200000,2,,,59.914899,30.508952
"Россия, Ленинградская область, Всеволожский район, Мурино, Оборонная улица, 37к1",25.0,10/12,5627,2850000,0,13,2017,60.042838,30.463812
"Россия, Санкт-Петербург, территория Сосновая Поляна",44.0,3/9,6982,4650000,2,9,1971,59.835247,30.154567
"Россия, Санкт-Петербург, Афонская улица, 20",34.0,4/10,3616,4390000,1,10,1998,60.030034,30.301333
"Россия, Санкт-Петербург, Ждановская улица, 45",125.0,9/13,6139,26000000,2,15,2017,59.962719,30.267485
"Россия, Санкт-Петербург, улица Бурцева, 3",42.1,3/5,3780,3750000,3,5,1968,59.835311,30.201099
"Россия, Санкт-Петербург, улица Софьи Ковалевской, 14к2",60.0,3/14,3854,6600000,2,14,1973,60.015597,30.411898
"Россия, Санкт-Петербург, Среднерогатская улица, 11",96.3,23/24,3973,15100000,3,26,2017,59.822711,30.33308
"Россия, Санкт-Петербург, проспект Ветеранов, 82",32.2,12/12,2549,3630000,1,12,1972,59.831155,30.215113
"Россия, Санкт-Петербург, Рыбацкий проспект, 9",97.2,16/17,3734,10999999,3,16,1995,59.843688,30.489674
"Россия, Санкт-Петербург, посёлок Парголово, улица Михаила Дудина, 25к2",36.6,17/27,6282,4300000,0,26,2011,60.071708,30.329765
"Россия, Санкт-Петербург, проспект Энтузиастов, 18к2",89.1,1/9,4398,7700000,4,,1979,59.946955,30.46409
"Россия, Санкт-Петербург, Красное Село, улица Спирина, 2к1",30.7,3/9,1800,2550000,1,9,1978,59.747444,30.086061
"Россия, Санкт-Петербург, улица Новосёлов, 63",45.0,2/5,5478,4000000,2,5,1962,59.887679,30.487132
"Россия, Санкт-Петербург, Туристская улица",80.0,14/16,2221,11000000,2,16,2007,59.99701,30.208088
"Россия, Санкт-Петербург, Пушкин, Оранжерейная улица, 51А",34.0,4/9,3287,3650000,1,,,59.724437,30.416533
"Россия, Санкт-Петербург, Дунайский проспект, 3к2, подъезд 2",69.0,6/9,595,9200000,2,9,1997,59.829043,30.328984
"Россия, Санкт-Петербург, проспект Кузнецова, 14к1",36.0,22/25,10236,4650000,1,26,2012,59.861028,30.191595
"Россия, Санкт-Петербург, Среднерогатская улица, 20",23.0,8/17,1696,2850000,0,18,2019,59.820282,30.3382
"Россия, Санкт-Петербург, проспект Просвещения, 15, подъезд 1",84.9,5/28,1228,8820000,3,29,2017,60.05419,30.325848
"Россия, Санкт-Петербург, Басков переулок, 25",111.5,2/5,2342,15000000,3,5,1880,59.939379,30.358565
"Россия, Ленинградская область, Всеволожский район, Мурино, улица Шоссе в Лаврики, 55",28.0,3/17,4600,2820000,0,18,2016,60.059459,30.458035
"Россия, Санкт-Петербург, посёлок Парголово, Тихоокеанская улица, 17",40.0,11/25,4105,2390000,1,10,2012,60.071766,30.235002
"Россия, Санкт-Петербург, улица Шаврова, 13к1",40.0,4/16,4809,4900000,1,16,2007,60.024019,30.235792
"Россия, Санкт-Петербург, Комендантский проспект, 60к1",56.9,10/18,6999,7400000,2,28,2017,60.035351,30.225614
