adress,area,floor,price,rooms,floors_total,year,latitude,longitude,district
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, улица Дмитрия Донского", 34.0, 4/9, 1700000, 1, 9,,53.093949,50.162869, Волжский район
"Россия, Самара, проспект Карла Маркса, 320", 31.0, 2/5, 1680000, 1, 5,,53.234454,50.230826, Промышленный
"Россия, Самара, 5-я просека, 110Б", 45.0, 2/16, 3190000, 1, 16,,53.242549,50.187006, Октябрьский
"Россия, Самара, проспект Карла Маркса, 200", 41.5, 8/24, 2550000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самара, Революционная улица, 7", 41.55, 24/26, 2285250, 1, 26,,53.216065,50.163093, Октябрьский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 9/25, 2250000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 23", 33.0, 1/3, 1500000, 1, 3,,53.319172,50.309025, Красноглинский
"Россия, Самара, улица Мечникова, 5", 44.0, 12/17, 2664000, 1, 17,,53.186339,50.134868, Железнодорожный
"Россия, Самара, Киевская улица, 5", 32.0, 9/9, 1700000, 1, 9,,53.200452,50.151352, Ленинский
"Россия, Самара, проспект Кирова, 222", 32.0, 5/5, 1800000, 1, 5,,53.241891,50.231024, Промышленный
"Россия, Самара, улица Крутые Ключи, 1", 33.9, 1/3, 1500000, 1, 3,,53.322276,50.303239, Красноглинский
"Россия, Самара, Демократическая улица, 10", 44.8, 3/4, 1770000, 1, 4,,53.263166,50.21524, Кировский
"Россия, Самара, Московское шоссе", 44.7, 15/24, 2620000, 1, 24,,53.253034,50.225715, Октябрьский
"Россия, Самара, улица Советской Армии, 93А", 36.05, 6/25, 1586200, 1, 25,,53.205976,50.214127, Советский
"Россия, Самара, улица Георгия Димитрова, 74Ак1", 45.3, 15/16, 1750000, 1, 16,,53.251622,50.230889, Кировский
"Россия, Самара, 7-я просека, 106", 36.1, 7/19, 2699000, 1, 19,,53.255894,50.200499, Промышленный
"Россия, Самара, улица Буянова, 118", 49.1, 12/20, 2798700, 1, 20,,53.197691,50.123154, Ленинский
"Россия, Самара, Ново-Садовая улица, 353В", 45.0, 14/16, 3150000, 1, 16,,53.252764,50.212069, Промышленный
"Россия, Самара, 5-я просека, 100к2", 43.7, 1/9, 2900000, 1, 9,,53.243966,50.185345, Октябрьский
"Россия, Самара, проспект Кирова", 40.0, 18/27, 2533940, 1, 27,,53.223959,50.256815, Промышленный
"Россия, Самара, 7-я просека, 92", 35.8, 13/19, 2899000, 1, 19,,53.254348,50.200293, Промышленный
"Россия, Самара, улица Маяковского, 95", 48.0, 8/17, 2900000, 1, 17,,53.196488,50.123163, Ленинский
"Россия, Самара, Солнечная улица, 16", 41.0, 4/25, 2650000, 1, 25,,53.241455,50.187015, Промышленный
"Россия, Самара, Ставропольская улица, 163", 30.7, 4/5, 2300000, 1, 5,,53.232729,50.256788, Кировский
"Россия, Самара, улица Советской Армии", 36.0, 8/25, 1712380, 1, 25,,53.223209,50.200598, Советский
"Россия, Самара, улица Георгия Димитрова, 88", 36.5, 9/10, 2500000, 1, 10,,53.256212,50.227826, Промышленный
"Россия, Самара, Олимпийская улица, 37", 31.8, 3/4, 1440000, 1, 4,,53.233996,50.287178, Кировский
"Россия, Самара, проспект Карла Маркса, 4А", 41.0, 8/24, 2900000, 1, 24,,53.191335,50.1345, Железнодорожный
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица Парижской Коммуны, 18", 41.0, 1/10, 2350000, 1, 10,,53.34722,50.211809, Красноглинский
"Россия, Самара, Краснодонская улица, 63", 32.4, 4/5, 2300000, 1, 5,,53.227614,50.249583, Кировский
"Россия, Самара, Революционная улица, 101Б", 42.0, 4/26, 2800000, 1, 26,,53.20699,50.176451, Октябрьский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Николаевский проспект, 54", 33.0, 9/9, 1800000, 1, 9,,53.110584,50.140285, Волжский район
"Россия, Самара, проспект Карла Маркса, 256", 31.0, 1/5, 1850000, 1, 5,,53.224288,50.208629, Советский
"Россия, Самара, Осетинская улица, 13А", 39.6, 8/10, 1800000, 1, 10,,53.15008,50.072884, Куйбышевский
"Россия, Самара, 7-я просека, 92", 36.0, 6/19, 2850000, 1, 19,,53.254348,50.200293, Промышленный
"Россия, Самара, Запорожская улица, 24", 46.43, 12/16, 2300000, 1, 16,,53.209778,50.218007, Советский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Преображенская улица", 39.8, 4/16, 1631720, 1, 16,,53.111811,50.143276, Волжский район
"Россия, Самара, проспект Карла Маркса, 4А", 41.32, 1/24, 3150000, 1, 24,,53.191335,50.1345, Железнодорожный
"Россия, Самара, Краснодонская улица, 10", 44.0, 2/27, 1892000, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самара, улица Авроры", 40.4, 18/25, 2222000, 1, 25,,53.193574,50.190681, Октябрьский
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 39", 36.6, 3/12, 2150000, 1, 12,,53.308235,50.286369, Красноглинский
"Россия, Самара, посёлок Соцгород, Придорожная улица", 32.1, 6/9, 1544010, 1, 9,,53.121767,50.08008, Волжский район
"Россия, Самара, Московское шоссе", 43.26, 4/16, 1800000, 1, 16,,53.253034,50.225715, Кировский
"Россия, Самара, проспект Кирова, 399Б", 43.0, 7/24, 1857000, 1, 24,,53.252969,50.228185, Кировский
"Россия, Самара, улица Гагарина, 124", 30.0, 1/5, 1749000, 1, 5,,53.202071,50.228787, Советский
"Россия, Самара, Революционная улица, 10", 37.29, 14/26, 2423850, 1, 26,,53.215316,50.165923, Октябрьский
"Россия, Самара, улица Осипенко, 34", 33.0, 4/9, 2900000, 1, 9,,53.207017,50.139396, Октябрьский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Земская улица, 7", 38.0, 1/9, 1660000, 1, 9,,53.11479,50.147004, Волжский район
"Россия, Самара, Подшипниковая улица, 18", 32.0, 5/5, 2300000, 1, 5,,53.209864,50.166507, Октябрьский
"Россия, Самара, улица Тухачевского, 80", 33.0, 2/16, 2600000, 1, 16,,53.195295,50.152053, Железнодорожный
"Россия, Самара, площадь Куйбышева", 30.0, 11/16, 2570000, 1, 16,,53.195538,50.101783, Промышленный
"Россия, Самара, 5-я просека, 131", 45.17, 2/15, 2400000, 1, 15,,53.242042,50.180925, Октябрьский
"Россия, Самара, улица Гастелло, 22А", 37.0, 2/24, 2990000, 1, 24,,53.226929,50.191462, Октябрьский
"Россия, Самара, проспект Карла Маркса, 200", 45.0, 15/24, 2750000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самара, улица Волгина, 108", 32.0, 3/5, 2100000, 1, 5,,53.188794,50.183225, Железнодорожный
"Россия, Самара, Московское шоссе", 45.0, 2/24, 2530000, 1, 24,,53.253034,50.225715, Октябрьский
"Россия, Самара, улица Карбышева, 67А", 46.5, 3/18, 3100000, 1, 18,,53.209136,50.205584, Советский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 22/25, 2190000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, Московское шоссе", 42.0, 18/26, 2328150, 1, 26,,53.253034,50.225715, Ленинский
"Россия, Самара, Осетинская улица, 13А", 37.4, 5/10, 1890000, 1, 10,,53.15008,50.072884, Куйбышевский
"Россия, Самара, Аэродромная улица, 102", 36.0, 1/16, 1561330, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, Октябрьский район, 3-й проезд, 50", 45.94, 13/19, 2331000, 1, 19,,53.204255,50.180539, Октябрьский
"Россия, Самара, улица Стара Загора, 143", 32.8, 3/9, 2500000, 1, 9,,53.236475,50.225329, Промышленный
"Россия, Самара, Осетинская улица, 7", 35.1, 9/16, 1800000, 1, 16,,53.152359,50.074331, Волжский район
"Россия, Самара, Ново-Садовая улица, 34", 32.0, 7/9, 2600000, 1, 9,,53.212814,50.137312, Октябрьский
"Россия, Самара, Московское шоссе, 29", 45.0, 21/24, 3250000, 1, 24,,53.218282,50.191471, Октябрьский
"Россия, Самара, улица Ерошевского, 78", 31.0, 5/5, 2199000, 1, 5,,53.211746,50.166857, Октябрьский
"Россия, Самара, Красноглинский район, посёлок Управленческий, Красноглинское шоссе, 33", 33.0, 5/5, 1550000, 1, 5,,53.34836,50.230018, Красноглинский
"Россия, Самара, проспект Кирова, 201", 40.0, 4/10, 2598000, 1, 10,,53.231031,50.248586, Кировский
"Россия, Самара, 5-я просека, 131", 36.4, 2/18, 2560000, 1, 18,,53.242042,50.180925, Октябрьский
"Россия, Самара, Щигровский переулок, 12", 29.0, 1/9, 1590000, 1, 9,,53.207329,50.284276, Промышленный
"Россия, Самара, Вольская улица, 81", 42.2, 5/10, 2800000, 1, 10,,53.219317,50.244238, Промышленный
"Россия, Самара, улица Карбышева, 71", 44.0, 8/18, 3000000, 1, 18,,53.209282,50.207802, Волжский район
"Россия, Самара, улица Дыбенко, 23", 36.0, 3/18, 2800000, 1, 18,,53.205501,50.1906, Советский
"Россия, Самара, улица 22 Партсъезда, 144", 33.0, 2/5, 2349000, 1, 5,,53.225862,50.209554, Советский
