price_per_m,latitude,longitude
169.0,59.947122,30.386314
95.8,60.029036,30.42858
241.0,59.96584,30.285981
92.0,59.834759,30.17848
88.6,59.792101,30.080806
101.0,59.69711,30.419417
131.0,60.077184,30.341479
122.0,59.91816,30.280007
136.0,59.934952,30.246078
121.8,59.89213,30.483359
95.4,59.8105,30.358287
155.6,60.005967,30.259238
100.0,60.077265,29.964708
118.8,59.858367,30.196257
109.5,59.851318,30.41859
262.2,59.957354,30.343914
108.5,60.058147,30.274204
124.0,59.936733,30.489234
101.9,60.044689,30.365536
187.3,59.92042,30.370063
108.0,60.00868,30.39633
138.0,59.848077,30.152869
106.5,60.013735,30.283277
102.5,60.011234,30.25975
140.0,59.852624,30.226881
100.0,59.991795,30.303813
67.2,60.053296,30.006488
183.7,59.983094,30.316892
116.0,59.919279,30.357945
110.0,60.01432,30.255322
94.5,60.056279,30.441399
167.3,59.931283,30.406508
142.8,60.056481,30.312176
123.0,59.98611,30.373756
143.5,60.02124,30.277771
214.7,59.972604,30.292413
109.0,59.851747,30.213811
112.5,59.980258,30.391731
98.7,59.979326,30.512482
127.0,60.023992,30.312643
129.0,59.917384,30.322372
121.7,59.980128,30.376738
104.0,59.942043,30.470414
114.5,60.001185,30.255816
126.6,59.84814,30.41409
118.0,60.053894,30.42328
121.5,59.908222,30.431454
142.8,59.885548,30.313074
112.0,59.905181,30.324187
99.6,60.056714,30.421968
97.0,59.93855,30.367395
130.0,60.027898,30.223611
86.8,59.727159,30.467468
198.0,59.930007,30.315293
243.0,59.939086,30.343213
98.0,59.861218,30.297066
116.0,59.924578,30.323333
108.2,60.079895,30.341713
88.0,59.993505,29.787749
108.0,59.847318,30.183007
121.1,59.69924,30.411718
90.0,59.738162,30.402421
116.5,59.987564,30.379882
196.4,59.94115,30.218069
71.3,60.065741,30.457281
103.8,59.933199,30.270297
98.0,59.721738,30.073664
135.0,59.957769,30.226872
152.7,59.993419,30.222883
134.0,59.909414,30.475876
128.0,60.04211,30.333448
141.0,59.923847,30.305196
137.0,59.941078,30.284804
172.0,59.964989,30.30605
107.2,59.803282,30.515537
75.0,59.734312,30.586468
117.0,59.938162,30.217458
126.7,59.884636,30.426684
280.5,59.972483,30.267853
97.0,59.840053,30.491695
86.0,59.877868,30.438587
142.5,60.021164,30.290518
161.1,59.913726,30.438479
101.0,60.051392,30.353912
96.0,60.038762,30.349285
95.0,59.919626,30.289386
184.5,59.904103,30.323612
101.7,59.939406,30.47761
113.5,59.841346,30.367315
112.3,60.052092,30.423711
140.6,59.848552,30.136178
160.9,60.013479,30.321501
175.0,59.965363,30.286682
84.0,59.915544,30.358673
81.0,59.911687,30.282738
121.0,59.998774,30.298315
86.0,59.864308,30.456059
132.9,60.041112,30.409994
136.0,59.928943,30.318222
77.7,59.793482,30.150821
99.0,59.958629,30.411314
174.8,59.959233,30.27221
104.5,59.836075,30.217278
91.0,60.035841,30.32778
108.0,59.891223,30.431104
95.0,59.755123,30.367126
116.6,59.868984,30.155707
135.0,60.089606,29.955069
150.0,59.836735,30.35658
95.0,59.730352,30.09985
76.0,59.751687,30.628904
85.0,59.959413,30.481778
122.0,59.903837,30.453786
128.0,59.93264,30.246491
119.5,59.929682,30.472355
134.0,59.876228,30.323989
115.5,59.874657,30.300354
137.7,60.01119,30.386736
63.0,59.783647,30.64051
140.6,59.962435,30.405062
111.0,59.868401,30.436108
124.0,59.922237,30.35463
187.0,59.983067,30.26859
102.0,59.841871,30.496052
118.0,59.891561,30.268383
138.0,59.855308,30.313541
115.2,59.923559,30.290518
106.5,60.016874,30.373217
137.3,60.032182,30.401343
145.0,59.971033,30.306184
100.0,60.044761,30.405071
130.1,60.031207,30.243419
159.0,59.961251,30.29739
