price_per_m,latitude,longitude
35.3,53.120205,50.08591
63.8,53.218982,50.246933
47.1,53.146467,50.062347
75.0,53.21984,50.191202
54.5,53.191751,50.100517
85.0,53.20179,50.127448
52.0,53.29644,50.363364
35.3,53.120653,50.095791
42.0,53.156571,50.07893
42.0,53.113292,50.148981
53.3,53.247026,50.262842
63.6,53.237607,50.219633
74.0,53.235747,50.205269
51.0,53.228536,50.248433
61.7,53.218551,50.245819
57.0,53.230277,50.189288
50.0,53.307331,50.286809
64.8,53.22943,50.246699
60.2,53.287182,50.121313
69.0,53.259035,50.219831
50.0,53.250954,50.239639
54.0,53.244381,50.236027
50.0,53.235564,50.252916
81.0,53.22805,50.211692
50.8,53.182519,50.207299
58.2,53.262919,50.212887
58.0,53.255286,50.242927
55.0,53.234546,50.256707
66.0,53.218395,50.244229
59.0,53.214885,50.244184
75.9,53.19864,50.150975
33.0,53.23143,50.264118
83.5,53.191832,50.114935
15.0,53.194923,50.113506
53.0,53.230864,50.223011
59.0,53.22942,50.187563
92.0,53.247528,50.211486
50.2,53.224503,50.213156
25.5,53.483056,49.854243
72.0,53.184521,50.105682
46.0,53.207809,50.239621
54.8,53.259504,50.220451
29.0,53.124598,50.090851
87.0,53.204735,50.127538
65.0,53.247344,50.19007
75.0,53.24319,50.189701
74.0,53.207507,50.22249
43.0,53.314395,50.310785
48.0,53.340043,50.225697
60.0,53.236518,50.215124
41.0,53.123382,50.092162
48.0,53.312964,50.298487
74.9,53.222724,50.195235
54.0,53.201974,50.204766
80.0,53.224627,50.266651
64.5,53.212744,50.168627
36.0,53.227824,50.236135
51.0,53.219333,50.26975
46.0,53.243352,50.213363
48.0,53.318715,50.312842
57.2,53.263387,50.232102
40.3,53.109401,50.077978
41.0,53.120767,50.091372
39.8,53.103681,50.031257
73.0,53.255727,50.202332
42.0,53.318188,50.306734
61.0,53.23495,50.212177
39.0,53.12061,50.084149
68.0,53.199093,50.147373
60.0,53.245722,50.194624
47.5,53.200452,50.166444
56.5,53.213666,50.162285
66.8,53.22274,50.199475
25.0,53.10114,50.033745
57.0,53.212188,50.223352
45.0,53.246595,50.256599
55.8,53.236125,50.248649
63.0,53.194524,50.137383
61.5,53.2373,50.253167
44.0,53.194956,50.179353
34.0,53.12088,50.085874
64.6,53.245033,50.18415
47.2,53.315009,50.308225
68.0,53.181941,50.075831
53.5,53.241492,50.236027
51.5,53.191422,50.203949
60.0,53.194362,50.191759
46.4,53.350687,50.211701
59.5,53.244699,50.247589
42.8,53.147363,50.080008
47.5,53.372596,50.369697
49.5,53.316703,50.312124
58.8,53.112719,50.147148
66.0,53.234966,50.258144
73.0,53.200436,50.096339
65.0,53.252678,50.209653
57.0,53.221619,50.198011
52.7,53.194411,50.163632
69.7,53.196957,50.201469
32.0,53.180533,50.099798
65.8,53.245114,50.190725
54.0,53.252263,50.242415
48.8,53.251348,50.248218
63.0,53.224266,50.174277
46.0,53.327848,50.314163
64.0,53.188805,50.143519
49.0,53.238264,50.277628
60.0,53.228951,50.236045
57.0,53.192021,50.102565
25.0,53.189717,50.096007
52.6,53.314826,50.30783
57.0,53.219193,50.226963
65.0,53.194276,50.146986
54.0,53.15042,50.074079
77.3,53.245286,50.218214
78.0,53.206752,50.186746
57.0,53.197842,50.160039
60.0,53.346027,50.231608
56.0,53.232972,50.279452
60.0,53.212965,50.240034
40.5,53.346263,50.228877
53.0,53.210916,50.228688
60.0,53.207378,50.181563
60.5,53.239051,50.21604
70.0,53.196229,50.170379
75.0,53.204773,50.117782
49.0,53.20213,50.228706
77.6,53.221565,50.19272
70.0,53.245685,50.190537
53.8,53.238679,50.237276
23.0,53.045199,50.184922
48.6,53.148114,50.061449
68.4,53.247603,50.237411
58.0,53.194082,50.208458
41.0,53.299669,50.289037
70.7,53.198101,50.170612
51.0,53.244101,50.217603
44.5,53.188265,50.218501
81.0,53.221225,50.194516
40.0,53.250442,50.265789
55.0,53.220702,50.231725
79.0,53.18145,50.102277
61.0,53.216508,50.207775
70.0,53.245496,50.232614
49.0,53.227905,50.294274
64.0,53.211849,50.139899
41.0,53.248918,50.256168
48.0,53.154837,50.090186
55.0,53.211255,50.264073
44.9,53.37743,50.170495
52.0,53.296644,50.282165
77.4,53.18935,50.119175
55.0,53.252829,50.203922
90.0,53.267529,50.197014
50.5,53.195668,50.164081
31.0,53.517919,50.136243
61.2,53.192684,50.137114
34.0,53.078123,50.231527
35.5,53.180522,50.085811
58.3,53.2511,50.210354
50.0,53.08621,50.159464
66.5,53.199697,50.15738
47.0,53.244467,50.243106
66.8,53.208753,50.141444
80.0,53.209265,50.139989
53.0,53.19508,50.172714
42.0,53.393408,50.169507
47.5,53.209363,50.246466
59.8,53.266479,50.213803
66.5,53.19898,50.184967
42.7,53.121334,50.088928
66.2,53.200636,50.147373
71.8,53.205129,50.141174
76.8,53.255286,50.199529
61.9,53.135599,50.251461
52.5,53.192134,50.181131
72.0,53.221533,50.195145
70.0,53.19905,50.158135
23.0,53.114606,50.081239
70.0,53.192927,50.113668
62.5,53.246283,50.189621
48.0,53.196078,50.176137
120.9,53.200102,50.103149
73.7,53.254348,50.200293
42.0,53.32525,50.313633
54.6,53.209605,50.189899
58.4,53.191886,50.211135
44.7,53.317155,50.308962
54.3,53.114568,50.146295
51.0,53.211611,50.224843
70.8,53.242091,50.210551
57.0,53.21406,50.161854
52.0,53.186307,50.194804
53.5,53.265089,50.228571
66.7,53.244408,50.21949
70.0,53.208052,50.207695
34.6,53.232966,50.323299
47.2,53.344489,50.213668
40.0,53.136053,50.079846
69.0,53.242985,50.182084
37.3,53.12831,50.108
62.5,53.19721,50.174996
46.5,53.187877,50.198262
39.5,53.37302,50.369463
51.5,53.19276,50.209365
52.0,53.189037,50.100562
45.0,53.323551,50.316714
41.8,53.319102,50.313408
28.0,53.199638,50.126002
84.0,53.203381,50.122292
41.3,53.226935,50.290205
36.5,53.516821,50.14006
57.0,53.186269,50.200858
71.7,53.188568,50.113614
74.8,53.198117,50.147427
62.5,53.250351,50.229838
61.8,53.220907,50.255287
54.0,53.194125,50.182533
45.3,53.231026,50.253006
72.5,53.249607,50.199026
59.0,53.235419,50.282632
66.0,53.188163,50.138479
68.5,53.207194,50.204047
59.0,53.19072,50.204065
52.5,53.211293,50.155134
27.0,53.11246,50.167585
56.7,53.187818,50.136818
54.0,53.201278,50.18547
47.3,53.106871,50.080924
56.5,53.190537,50.175454
46.5,53.310694,50.310399
47.0,53.179767,50.083512
51.3,53.208359,50.285004
43.2,53.319829,50.310489
63.5,53.218443,50.207982
73.0,53.202179,50.116093
53.0,53.210975,50.281312
63.0,53.249435,50.2345
46.2,53.313169,50.31198
57.1,53.207701,50.283171
59.0,53.21105,50.217801
48.0,53.243971,50.255808
53.0,53.253449,50.24404
61.5,53.191379,50.12982
56.0,53.229053,50.248667
112.0,53.208462,50.116731
53.0,53.245189,50.208638
74.5,53.24132,50.183413
96.0,53.213903,50.13114
78.6,53.187278,50.102205
41.0,53.227366,50.245613
44.2,53.315272,50.308728
50.0,53.156522,50.089611
65.3,53.206186,50.224556
59.2,53.231328,50.258593
55.0,53.208877,50.279218
63.3,53.239757,50.189171
68.8,53.210252,50.173316
74.7,53.223587,50.154029
33.0,53.111152,50.081221
39.5,53.213434,50.228006
45.5,53.246294,50.265088
45.3,53.310855,50.310785
50.8,53.15238,50.072687
