price_per_m,floors,latitude,longitude
54.0,4,53.226147,50.258252
64.2,9,53.190974,50.143564
68.0,9,53.246121,50.241435
62.4,10,53.218449,50.22355
56.0,9,53.093781,50.164234
63.0,4,53.200566,50.212447
61.0,11,53.186852,50.204676
37.0,4,53.234971,50.296215
67.7,9,53.241983,50.232596
76.8,9,53.201321,50.1322
69.5,5,53.252527,50.23389
51.6,25,53.204643,50.185677
52.8,5,53.244101,50.217603
57.0,10,53.236394,50.263112
53.1,12,53.263306,50.218636
43.4,10,53.147088,50.05879
60.3,5,53.193359,50.209662
74.8,13,53.266112,50.216363
71.9,17,53.222724,50.195235
62.0,9,53.259407,50.217953
59.8,5,53.237337,50.236495
64.3,5,53.226519,50.190501
55.0,9,53.112238,50.148316
58.6,18,53.211315,50.16348
72.3,16,53.256234,50.198469
65.8,9,53.239558,50.212842
42.4,3,53.315412,50.309123
44.5,3,53.311835,50.308917
48.6,3,53.327353,50.316346
45.9,16,53.225215,50.215178
50.2,9,53.248643,50.258431
49.0,3,53.307778,50.3141
62.8,17,53.189911,50.215223
66.3,9,53.254424,50.222948
42.0,10,53.305184,50.287537
49.9,3,53.248174,50.190231
51.7,5,53.219333,50.26975
49.8,22,53.249764,50.239711
53.3,16,53.150706,50.072669
74.0,9,53.210549,50.137231
39.0,5,53.279252,50.270936
53.8,5,53.199012,50.224655
46.0,20,53.187629,50.147265
39.6,5,53.119335,50.082892
58.0,14,53.216545,50.150373
73.3,18,53.261448,50.232704
46.0,5,53.109357,50.085461
74.2,6,53.182578,50.076029
58.0,5,53.227107,50.211072
46.0,3,53.305889,50.3149
54.0,24,53.219031,50.191543
97.2,10,53.206213,50.120477
67.0,19,53.250232,50.20712
36.3,3,53.322421,50.315483
52.0,10,53.37938,50.179919
53.3,5,53.197237,50.222813
45.5,9,53.094084,50.162473
44.8,25,53.206143,50.214603
70.0,9,53.244084,50.183108
53.0,5,53.225102,50.262869
61.8,9,53.257317,50.229631
62.6,10,53.231867,50.183656
54.0,5,53.224449,50.265609
55.0,10,53.200226,50.122983
59.0,5,53.189836,50.175238
50.0,16,53.20576,50.221071
77.5,20,53.21627,50.164045
61.5,9,53.248012,50.238354
58.7,14,53.2511,50.210354
45.4,24,53.196266,50.151451
39.6,3,53.311302,50.311387
70.2,9,53.200808,50.225966
59.0,5,53.188298,50.179371
56.3,5,53.199061,50.172184
34.9,10,53.278719,50.272894
46.0,9,53.190607,50.22196
63.7,9,53.233327,50.217729
74.0,9,53.248492,50.210668
56.0,3,53.287225,50.220523
75.5,9,53.21262,50.139548
60.0,16,53.235607,50.25624
53.0,3,53.28765,50.222436
54.4,9,53.208268,50.282506
55.8,5,53.239078,50.280243
56.7,9,53.228304,50.273847
39.6,3,53.307331,50.316508
36.8,5,53.140936,50.146573
72.0,9,53.229571,50.209922
66.5,10,53.188719,50.13688
77.5,10,53.261696,50.222562
71.0,5,53.19461,50.18
64.3,10,53.214426,50.157721
40.0,16,53.305378,50.239764
62.3,9,53.191821,50.149583
57.3,5,53.218923,50.272086
53.0,5,53.231721,50.255449
46.0,3,53.288016,50.220172
56.1,9,53.207701,50.283171
51.4,5,53.213871,50.296628
45.7,18,53.187882,50.133682
64.8,24,53.224379,50.176209
43.1,10,53.142049,50.040294
50.7,5,53.21152,50.179703
77.4,26,53.237116,50.1815
73.1,21,53.243174,50.184446
77.0,4,53.200042,50.131535
65.8,9,53.19898,50.184967
47.0,5,53.215553,50.235938
88.0,2,53.192474,50.099573
74.6,19,53.256061,50.199484
70.0,9,53.196078,50.133575
52.3,26,53.210775,50.178095
67.1,19,53.246207,50.190788
59.2,10,53.268407,50.219858
61.9,9,53.239784,50.193367
41.3,10,53.112649,50.085191
39.8,10,53.304329,50.287474
47.6,3,53.315009,50.308225
51.0,5,53.114914,50.152763
56.0,9,53.112071,50.145181
65.9,10,53.218211,50.249188
53.8,9,53.215467,50.270325
55.0,3,53.214938,50.155476
65.8,3,53.18901,50.098028
43.8,5,53.302193,50.276434
55.0,24,53.218449,50.193079
45.0,16,53.147363,50.080008
54.3,9,53.209497,50.280728
45.0,5,53.206013,50.2429
51.2,2,53.224309,50.253158
63.5,16,53.228713,50.261351
58.6,26,53.207977,50.179371
58.5,5,53.251369,50.261252
57.0,17,53.194686,50.243421
55.1,9,53.252813,50.210327
51.0,9,53.220503,50.274233
46.0,9,53.094132,50.160578
84.2,5,53.203392,50.105556
63.0,12,53.190947,50.149259
58.0,5,53.229102,50.27655
66.8,6,53.212744,50.168627
67.1,16,53.229765,50.193771
48.3,4,53.246633,50.183575
52.0,17,53.221155,50.155556
67.0,17,53.208176,50.207874
57.2,4,53.214744,50.231904
55.2,5,53.251978,50.240169
85.0,16,53.243071,50.187824
46.6,5,53.115827,50.15729
54.2,16,53.151392,50.074214
58.7,4,53.268278,50.188677
44.8,9,53.322071,50.303437
64.7,5,53.201186,50.153697
53.0,2,53.227668,50.237716
45.0,3,53.318123,50.311181
52.0,5,53.209034,50.16613
49.0,16,53.093743,50.161647
51.7,17,53.187273,50.200454
55.8,18,53.259504,50.220451
76.0,2,53.188066,50.094812
80.6,9,53.208963,50.143034
61.4,9,53.237639,50.282138
66.5,9,53.250103,50.209518
66.3,9,53.201747,50.148442
46.8,5,53.242144,50.239405
52.4,5,53.242392,50.245729
71.8,6,53.181299,50.102152
50.3,16,53.152083,50.07566
66.0,16,53.245361,50.185147
57.8,24,53.191449,50.133179
46.9,16,53.235295,50.280216
72.4,5,53.183312,50.078355
71.0,5,53.201731,50.211468
60.0,9,53.245512,50.210623
43.0,3,53.303457,50.283162
58.0,5,53.22777,50.278284
70.6,10,53.197718,50.183764
62.9,14,53.246655,50.208171
74.8,13,53.243233,50.187294
42.7,9,53.189161,50.244014
55.2,5,53.207302,50.241983
44.0,24,53.254391,50.231239
44.7,3,53.308709,50.316894
45.0,9,53.339834,50.227314
53.0,9,53.210975,50.281312
51.3,9,53.093143,50.161809
71.0,3,53.289443,50.221708
52.3,3,53.287209,50.221735
58.5,24,53.266274,50.23168
77.1,5,53.192765,50.119444
52.0,2,53.20967,50.183871
77.8,17,53.261884,50.223307
68.0,17,53.250561,50.2254
59.2,12,53.259224,50.218834
60.4,12,53.348596,50.214468
72.2,19,53.256525,50.187536
75.3,6,53.183684,50.09766
60.0,10,53.193974,50.116219
91.0,9,53.237477,50.190204
49.0,2,53.20193,50.193735
47.9,5,53.193256,50.250023
59.7,10,53.192873,50.145756
51.0,9,53.303958,50.27505
45.1,3,53.315574,50.305755
69.6,5,53.199465,50.227979
53.5,5,53.226368,50.205548
45.7,3,53.317155,50.308962
50.0,5,53.116984,50.160731
55.3,5,53.230535,50.271322
65.0,16,53.261313,50.225823
47.0,2,53.223166,50.268627
41.7,2,53.175719,50.152799
44.0,3,53.312475,50.310408
69.5,5,53.19146,50.197966
65.4,9,53.221673,50.220253
58.4,9,53.193413,50.206473
70.4,10,53.193418,50.14227
56.0,5,53.201375,50.202835
53.0,5,53.257828,50.239764
68.7,9,53.196957,50.201469
60.0,5,53.217505,50.206464
52.8,5,53.235435,50.232273
45.0,3,53.325331,50.311172
50.0,9,53.094743,50.161144
72.7,19,53.254715,50.20217
70.5,5,53.188568,50.113614
48.5,5,53.215683,50.239953
38.3,16,53.147461,50.077142
49.4,16,53.523636,49.397854
36.0,2,53.192582,50.266328
45.2,3,53.320501,50.306491
68.0,7,53.182918,50.099079
71.7,19,53.213962,50.211315
59.0,5,53.208003,50.231752
64.2,10,53.218551,50.245819
54.9,5,53.194702,50.182793
57.0,10,53.213768,50.183431
41.2,10,53.391454,50.168519
63.0,9,53.260139,50.233997
43.4,5,53.257284,50.227808
70.9,16,53.247603,50.237411
70.3,5,53.20158,50.209734
63.2,9,53.191875,50.150418
57.7,5,53.187138,50.198226
55.7,7,53.258561,50.184635
51.3,19,53.254752,50.2027
63.0,5,53.23689,50.235462
44.5,2,53.220746,50.230521
53.0,5,53.210851,50.254129
58.5,16,53.248029,50.193169
58.5,9,53.196013,50.216768
51.3,16,53.22012,50.220532
64.0,5,53.212889,50.168097
61.0,10,53.227204,50.27426
45.5,5,53.230875,50.284914
48.0,9,53.210366,50.279901
49.0,10,53.156814,50.089979
50.3,10,53.14193,50.041201
57.2,9,53.232266,50.271008
67.6,24,53.216502,50.170963
81.5,10,53.205167,50.133539
54.2,16,53.155626,50.076064
79.0,19,53.254849,50.199969
59.7,9,53.1888,50.146591
50.0,3,53.178077,50.074897
48.5,5,53.211859,50.241534
79.0,9,53.512382,49.254726
56.0,5,53.221808,50.268834
64.4,16,53.247344,50.19007
59.8,5,53.225538,50.261872
53.0,6,53.15029,50.082487
68.3,14,53.23205,50.22532
76.6,12,53.211255,50.144408
46.3,5,53.347097,50.225221
68.0,9,53.264233,50.221457
51.0,3,53.316972,50.310363
64.2,2,53.207372,50.212932
52.8,9,53.110536,50.141633
87.4,9,53.209772,50.126756
43.0,3,53.312948,50.30633
45.0,2,53.191665,50.251182
44.8,9,53.239385,50.345029
69.8,9,53.196471,50.14245
70.0,5,53.208872,50.129272
58.0,5,53.254488,50.235246
53.0,5,53.230902,50.220289
71.9,12,53.242802,50.181131
74.6,9,53.211121,50.140833
56.3,5,53.225344,50.268187
55.0,10,53.180641,50.128319
85.0,4,53.199142,50.106742
66.7,5,53.23357,50.187761
54.0,5,53.238852,50.235201
43.3,3,53.314395,50.310785
63.0,9,53.199703,50.171466
81.5,7,53.18955,50.102726
44.2,3,53.325379,50.313238
67.0,21,53.190758,50.130062
54.0,5,53.21118,50.227341
49.6,10,53.306503,50.286809
50.8,3,53.31765,50.310049
66.8,17,53.234691,50.191525
50.7,3,53.288678,50.220702
52.4,5,53.221845,50.273739
55.8,16,53.15042,50.074079
86.5,5,53.207432,50.120504
72.0,6,53.183976,50.099735
54.0,5,53.187176,50.203257
63.8,5,53.215559,50.215654
48.0,2,53.228929,50.239576
63.6,5,53.22039,50.205503
47.9,5,53.137689,50.078741
46.7,4,53.117578,50.085066
50.0,5,53.187256,50.202359
67.8,10,53.233969,50.224089
70.1,9,53.241465,50.211342
71.5,9,53.211299,50.13662
68.7,9,53.202416,50.120163
64.5,5,53.211347,50.182964
57.0,5,53.201337,50.157371
47.0,9,53.187704,50.216723
50.0,5,53.202351,50.224861
59.7,5,53.245566,50.225302
59.0,5,53.198807,50.248325
66.0,24,53.217014,50.167594
40.0,16,53.148595,50.077313
49.9,9,53.109595,50.13874
70.9,10,53.268827,50.218142
58.3,10,53.243341,50.180053
56.6,5,53.247129,50.234132
47.6,3,53.32028,50.306779
44.4,3,53.324922,50.311738
67.0,12,53.26022,50.235857
44.4,6,53.249209,50.260731
61.0,9,53.24485,50.218852
50.0,3,53.317801,50.310417
56.0,4,53.23834,50.17629
49.2,5,53.252247,50.230018
51.8,16,53.182519,50.207299
50.2,3,53.316386,50.311351
53.0,5,53.211255,50.264073
71.6,16,53.237515,50.23724
50.0,5,53.348822,50.227458
65.3,5,53.203149,50.132272
45.0,5,53.137111,50.07946
49.7,5,53.11553,50.151227
51.0,6,53.189803,50.220298
52.2,3,53.314826,50.30783
67.7,10,53.196908,50.195271
54.2,9,53.113341,50.142486
58.0,9,53.091704,50.160677
50.0,3,53.322238,50.308468
58.7,5,53.24597,50.226173
82.0,5,53.22805,50.211692
69.2,9,53.196315,50.199116
62.0,9,53.258173,50.206976
61.0,3,53.184607,50.08724
103.4,6,53.190003,50.0837
51.0,10,53.185756,50.141677
70.3,3,53.268014,50.198442
47.6,10,53.146251,50.059796
49.0,16,53.229479,50.186773
38.5,16,53.1482,50.079056
48.1,5,53.192792,50.25058
62.8,10,53.2461,50.209779
61.5,5,53.188654,50.182102
56.1,26,53.212571,50.181823
45.3,3,53.320861,50.312663
56.3,5,53.195015,50.171196
50.5,5,53.215564,50.213192
44.0,16,53.106568,50.081239
72.0,8,53.181607,50.102367
48.2,16,53.236653,50.253652
45.0,3,53.318785,50.312672
74.8,9,53.19967,50.180476
37.0,4,53.189409,50.092351
59.3,9,53.252403,50.244867
65.2,16,53.257828,50.189198
62.5,14,53.264411,50.219876
51.3,5,53.201634,50.161324
62.7,9,53.223797,50.271601
51.0,5,53.186307,50.194804
45.2,9,53.342807,50.221807
65.0,21,53.193871,50.131401
65.5,5,53.21303,50.154227
60.3,5,53.206817,50.214504
52.3,10,53.210765,50.256051
66.4,9,53.205377,50.224906
45.3,3,53.324944,50.31445
41.3,5,53.120243,50.09466
46.2,3,53.323728,50.313112
48.0,3,53.309274,50.308818
61.0,9,53.253206,50.250032
48.3,16,53.234632,50.255422
50.2,5,53.245523,50.243708
72.8,9,53.198241,50.220585
55.0,5,53.250539,50.261962
55.0,5,53.135496,50.234887
42.0,3,53.327197,50.317747
51.8,24,53.220886,50.192872
71.7,10,53.215267,50.159195
61.9,10,53.185789,50.203059
66.5,3,53.21826,50.185443
61.5,10,53.21908,50.244822
47.7,16,53.210198,50.215088
46.0,10,53.349322,50.210524
75.6,10,53.242258,50.182191
50.0,4,53.329644,50.312654
55.0,20,53.19242,50.139782
85.0,6,53.206709,50.112707
67.2,9,53.246805,50.250778
57.0,9,53.24243,50.231886
58.6,5,53.215343,50.212707
65.0,16,53.229619,50.264827
46.7,3,53.318295,50.31154
67.3,9,53.187521,50.14201
85.0,5,53.215801,50.237752
57.6,5,53.208958,50.163623
67.0,5,53.21358,50.193564
58.6,9,53.194945,50.197633
49.0,5,53.223085,50.270011
48.2,3,53.316536,50.31172
83.7,20,53.207664,50.136988
