area,floor,price,rooms,floors_total,year,latitude,longitude
50.8,1,7000000,2,9,0,60.012218999999995,30.352843
36.0,7,3990000,1,15,2016,60.055820999999995,30.431841
163.5,6,21800000,8,7,1950,59.800095999999996,30.398046
49.5,4,4490000,4,5,1966,59.843191000000004,30.236071000000003
25.6,3,2930000,0,10,2016,60.05711899999999,30.424896999999998
34.6,1,3350000,1,9,1976,60.037943999999996,30.350354
108.0,7,18360000,3,10,2016,59.957584,30.405510999999997
134.0,9,39000000,2,10,2007,59.957935,30.273081
18.0,2,2650000,0,4,1890,59.923026,30.292907
64.0,6,6800000,2,16,1990,59.832696999999996,30.405089
50.0,1,6200000,2,12,1984,59.83568100000001,30.402026
47.3,6,4690000,1,23,2004,59.952983999999994,30.480502
45.9,3,3970000,2,5,1961,59.864307999999994,30.456059000000003
42.0,5,4950000,2,5,1959,59.848841,30.335811
107.0,15,20100000,3,23,2011,59.838041000000004,30.350426000000002
24.4,1,3000000,0,11,2017,60.042415000000005,30.224715999999997
35.2,14,4700000,1,25,2017,59.977976,30.436638000000002
158.5,6,24000000,4,7,1950,59.800095999999996,30.398046
71.6,21,7815000,3,25,2017,60.053952,30.327196
59.0,3,7500000,3,6,1926,59.981018999999996,30.349115
72.5,7,12395000,3,14,2015,59.999287,30.2253
60.6,16,7700000,2,17,2006,60.008878,30.259984000000003
81.0,5,10000000,3,5,1938,59.925254,30.407802
107.0,6,22900000,3,6,2017,59.941114,30.384419
110.2,6,9450000,4,7,0,59.925038,30.354082000000002
52.0,9,5200000,2,13,1985,60.059571,30.452951000000002
51.0,6,5000000,2,9,1984,59.94698199999999,30.486
30.0,20,4000000,0,25,2016,59.89255,30.450202
77.7,17,8480000,3,25,2017,60.053952,30.327196
226.0,8,29000000,4,8,2011,59.868545999999995,30.263029
49.0,3,4550000,4,5,1968,59.835654000000005,30.206570000000003
42.0,3,3850000,3,5,1967,59.833927,30.141451
13.2,1,1970000,0,7,1912,59.911263,30.325543
25.0,13,3950000,0,17,2018,59.830988,30.364798999999998
39.3,4,9100000,1,9,2018,59.959435,30.259220000000003
58.0,1,6990000,2,5,1959,59.920731,30.41647
115.0,3,29900000,3,6,2005,59.96938000000001,30.261017
52.2,1,6070000,2,12,0,60.023587,30.220646999999996
163.0,3,23070000,5,7,1905,59.927333,30.314045
80.9,6,8295000,3,9,2003,60.02811,30.285567999999998
65.7,2,6100000,3,9,1978,60.039153000000006,30.330376
46.1,5,5400000,2,9,1976,60.070828000000006,30.321357
49.0,5,4600000,2,5,1971,59.827020999999995,30.169407
71.0,4,7900000,3,25,2016,59.870366000000004,30.158986
38.0,16,3650000,1,18,2018,59.728855,30.401936
