area,floor,price,rooms,floors_total,year,latitude,longitude
44.0,8,2500000,2,9,1979,53.227295999999996,50.248315999999996
56.0,5,3350000,2,12,1981,53.26483100000001,50.231186
59.7,2,4250000,1,17,2006,53.235094999999994,50.054666999999995
88.0,10,5600000,3,16,2010,53.216303,50.244687
58.0,3,2850000,3,5,1969,53.244699,50.22558
40.0,1,2690000,2,4,1941,53.187926000000004,50.101631
57.7,9,4400000,3,9,1974,53.20701700000001,50.139396000000005
48.0,6,2800000,1,17,2013,53.223711,50.192244
110.0,8,7500000,2,9,1,53.188141,50.083682
33.0,2,1950000,1,5,2014,53.116789000000004,50.156131
35.0,3,1750000,1,5,1981,53.185805,50.193897
34.6,2,1550000,1,3,2012,53.318624,50.312303
70.9,10,6150000,2,12,2007,53.188417,50.131615999999994
73.0,2,1950000,5,2,1888,53.188476,50.102619
53.0,6,1300000,2,10,1990,53.104643,50.031643
33.5,5,2350000,1,9,1971,53.251779000000006,50.227592
53.0,9,3700000,2,9,2017,53.11039,50.143842
38.0,1,1550000,1,3,2014,53.311302000000005,50.311386999999996
72.0,6,4200000,2,16,2009,53.248029,50.193169
79.0,6,3999000,3,10,1999,53.220605000000006,50.199978
41.0,15,3250000,2,22,2014,53.203419,50.183961
56.0,2,1250000,3,2,1953,53.100042,50.031301
44.0,5,2800000,2,9,1976,53.239993999999996,50.214881
50.0,11,3550000,1,17,2012,53.197291,50.153724
60.0,8,4800000,2,18,2015,53.241455,50.187015
33.0,1,1700000,1,9,2015,53.112692,50.143357
72.0,14,4100000,3,17,1926,53.225145,50.152143
33.0,2,1600000,1,5,1969,53.347801000000004,50.222122
191.5,7,12500000,4,10,1999,53.194416000000004,50.108449
52.0,7,4000000,2,16,2012,53.229765,50.193771000000005
45.0,2,2700000,1,2,2009,53.248492000000006,50.077268
62.6,11,5700000,3,16,2013,53.24451,50.195864
95.0,9,5900000,4,10,1998,53.19341800000001,50.14227
43.0,14,3500000,1,16,2008,53.230056000000005,50.181948999999996
67.0,7,4120000,3,9,1984,53.264691000000006,50.222912
47.2,5,4200000,1,16,2011,53.198386,50.127753999999996
84.0,1,3500000,3,5,2002,53.108622,50.085111
74.0,4,3700000,3,10,1999,53.220605000000006,50.199978
33.4,2,1400000,1,3,2011,53.32063,50.312366
77.2,1,2000000,3,5,1979,53.234271,50.298621999999995
58.0,14,3990000,1,16,2003,53.247840000000004,50.190151
64.3,17,5000000,1,17,2012,53.259843000000004,50.221717
39.0,9,1850000,1,10,2015,53.308838,50.287582
78.0,8,7800000,3,23,2013,53.203656,50.12407
81.1,4,3200000,2,16,2017,53.151079,50.075499
41.5,6,3070000,1,16,2014,53.252764,50.212069
50.0,1,1750000,3,5,1977,53.489802000000005,49.851531
59.0,1,2500000,2,10,0,53.351999,50.2141
40.0,14,3150000,1,22,2014,53.203419,50.183961
48.5,9,2990000,1,16,2010,53.209427000000005,50.206724
27.0,2,1650000,1,3,1870,53.18460699999999,50.08724
55.0,2,2850000,3,9,1975,53.225807999999994,50.24422
63.0,5,3800000,3,5,1973,53.20216800000001,50.134122999999995
34.0,5,2300000,1,9,1974,53.228347,50.266301
54.0,1,2670000,2,4,1958,53.20604599999999,50.231365000000004
50.0,3,3050000,2,5,1965,53.186744,50.123046
31.0,4,1250000,1,5,1965,53.14509,50.041047999999996
21.0,9,1400000,1,9,1975,53.238581999999994,50.282713
36.0,1,1700000,1,2,1980,53.248492000000006,50.077268
45.9,9,2800000,2,9,1971,53.237354,50.215375
63.5,2,3651250,3,9,1975,53.250577,50.266273999999996
350.0,10,35000000,4,11,1985,53.201326,50.116040000000005
33.6,3,1400000,1,3,2012,53.318785,50.312672
32.0,1,850000,1,2,1,53.14056899999999,50.022606
44.0,2,2350000,2,3,2011,53.320156999999995,50.311215999999995
39.0,3,3080000,1,9,1989,53.210554,50.153886
49.0,1,2350000,2,3,2013,53.325965000000004,50.315816
47.0,1,2980000,2,9,0,53.19723199999999,50.137904999999996
59.0,4,2300000,3,4,1960,53.347956999999994,50.222993
47.4,3,2800000,2,5,1986,53.191562,50.171096999999996
53.0,1,2390000,3,9,1972,53.247689,50.259869
37.0,2,2990000,1,24,2017,53.226929000000005,50.191462
50.4,5,3000000,2,12,1977,53.245205000000006,50.231248
62.0,1,2800000,2,5,1959,53.208149,50.169067
45.1,1,2150000,2,5,1974,53.231489,50.254909999999995
36.4,3,1660000,1,3,2016,53.306706999999996,50.313911
59.5,5,2800000,3,9,1,53.24105600000001,50.229057
68.0,5,3750000,3,9,1972,53.244553,50.060649
56.0,6,3350000,3,9,1976,53.241465000000005,50.211342
31.3,5,1680000,1,5,1968,53.225102,50.262869
30.0,2,1800000,1,5,1970,53.253675,50.234725
60.2,11,4290000,2,16,1993,53.198203,50.144175
40.8,2,2200000,2,5,1968,53.230212,50.275158000000005
42.0,8,2550000,1,24,1963,53.220886,50.192871999999994
70.0,6,4499000,3,9,1985,53.26608,50.221636
64.0,9,2780000,3,9,1978,53.342828000000004,50.223541
84.0,2,7000000,3,5,1997,53.189026,50.106706
43.5,1,2000000,2,2,1,53.193197,50.129227
54.0,5,2600000,2,5,1998,53.296418,50.291876
52.0,1,2240000,2,2,0,53.358679,50.210857
47.0,2,1500000,2,2,1950,53.230066,50.252251
45.0,3,2700000,2,5,1964,53.194055000000006,50.209851
43.0,5,2400000,2,5,1964,53.190127000000004,50.208674
34.2,1,2000000,1,9,1982,53.266893,50.227017
73.0,25,7500000,2,25,2014,53.201007999999995,50.126613
84.0,3,4700000,3,10,2009,53.276856,50.262221999999994
78.6,4,6200000,3,9,1992,53.194378,50.12142
66.0,12,5900000,2,16,2008,53.18179,50.094893
50.0,2,2500000,1,19,2016,53.186339000000004,50.134868
150.0,10,9900000,3,12,2010,53.19536,50.114342
30.0,5,1899000,1,5,1,53.34843000000001,50.222436
58.5,3,2600000,3,5,1967,53.240242,50.233117
56.4,5,3800000,2,12,1989,53.191469999999995,50.139072
42.9,4,2750000,2,6,1966,53.241562,50.220954
62.0,7,3400000,3,9,1980,53.34280699999999,50.221807
35.0,2,1550000,1,3,2011,53.32063,50.312366
38.0,2,2150000,1,3,2015,53.287225,50.220523
45.0,3,2050000,2,4,1965,53.235284,50.288265
47.2,4,2180000,2,5,1984,53.22673,50.296484
106.1,8,7500000,3,10,1999,53.1968,50.112608
30.5,5,1847000,1,5,1964,53.193358999999994,50.209662
78.0,2,950000,1,2,1939,53.344591,50.21127
55.4,2,2600000,2,3,2013,53.313174,50.311513
42.0,6,3000000,1,10,2006,53.267001,50.221493
55.0,10,3499000,2,10,1994,53.208225,50.216803999999996
23.0,5,1250000,1,5,1970,53.241703,50.237797
37.0,2,2250000,1,9,1976,53.239158999999994,50.236198
40.0,7,2900000,1,19,0,53.24150899999999,50.185524
52.0,5,2200000,2,5,1975,53.516445999999995,50.137752
31.0,3,1420000,1,5,0,53.296967,50.288561
67.0,4,3650000,3,9,1984,53.192868000000004,50.1428
32.0,1,810000,1,4,1962,53.482986,49.855286
43.0,4,2300000,2,5,1969,53.212835,50.209177000000004
30.0,5,1400000,1,5,1962,53.38952,50.166740000000004
43.0,5,2350000,2,5,1965,53.19873199999999,50.166435
44.0,5,2500000,2,5,1960,53.2142,50.245028999999995
82.5,9,6300000,2,14,2005,53.20086800000001,50.142378
45.5,3,2650000,2,5,1974,53.212722,50.166435
55.0,3,3900000,2,5,1996,53.18845400000001,50.106481
18.0,2,850000,1,5,1968,53.51566999999999,50.142064000000005
55.1,1,4600000,2,9,1978,53.237186,50.223981
47.0,2,2000000,2,5,0,53.137787,50.080017
33.0,2,1300000,1,2,1963,53.150231000000005,50.138102
66.0,1,3800000,2,10,1987,53.22659,50.274125
56.0,1,3050000,2,5,1962,53.196121,50.181994
89.0,2,6150000,3,16,2009,53.247758999999995,50.192298
53.0,3,2850000,2,10,1989,53.235974,50.254138
54.0,1,2600000,2,10,2016,53.308504000000006,50.28883
75.0,3,7500000,3,6,1957,53.205123,50.122831
56.1,2,3070000,2,3,2014,53.295793999999994,50.285588
124.9,6,9000000,4,10,0,53.223290000000006,50.153517
34.1,6,1650000,1,9,2016,53.112697999999995,50.147273999999996
89.0,4,6300000,3,9,2010,53.244547999999995,50.203346999999994
44.1,2,2550000,2,5,1965,53.19873199999999,50.166435
38.0,3,1598000,1,3,2012,53.31698299999999,50.308575
68.0,5,3720000,3,9,1972,53.244553,50.060649
31.8,1,850000,2,9,1978,53.486662,49.856840000000005
46.0,3,1900000,2,3,1959,53.266452,50.237357
80.0,2,6199000,2,10,1,53.224115000000005,50.174214
47.0,4,2200000,2,5,1977,53.342608,50.217405
