price,longitude,latitude,rooms,area,floor,floors_total,year
3990000,50.193223,53.21830799999999,2,73.9,22,24,0
3200000,50.170064,53.21441,2,60.1,1,5,0
3300000,50.225176,53.280802,2,55.0,2,2,0
5290000,50.164567,53.215343,2,80.1,13,14,0
3955000,50.193223,53.21830799999999,2,73.9,16,24,0
4900000,50.211665,53.261911,2,65.0,2,10,0
4800000,50.215663,53.25444,2,62.0,25,27,0
3500000,50.119013,53.208651,2,43.7,5,5,0
3960000,50.193223,53.21830799999999,2,73.9,24,24,0
3750000,50.134527,53.21009100000001,2,48.0,7,9,0
4560000,50.136557,53.213607,2,55.0,8,12,0
3860000,50.193223,53.21830799999999,2,74.2,2,24,0
3400000,50.202628,53.252888,2,55.0,3,9,0
3900000,50.164144,53.214367,2,51.0,6,9,0
4010000,50.193223,53.21830799999999,2,74.2,5,24,0
3200000,50.154362,53.19411899999999,2,71.0,8,22,0
18500000,50.135308,53.215553,3,111.5,20,25,0
5500000,50.165025,53.210635,2,70.0,15,16,0
3300000,50.190231,53.206267,2,52.0,5,5,0
4015000,50.193223,53.21830799999999,2,74.2,6,24,0
3100000,50.044147,53.141222,2,55.0,7,10,0
12500000,50.117387,53.202686,3,107.0,8,18,0
5000000,50.164045,53.21627,2,82.0,10,20,0
14900000,50.11692,53.19130300000001,3,109.0,5,11,0
3300000,50.206275,53.194438,2,80.0,18,18,0
4701480,50.176209,53.224379000000006,2,67.6,14,24,0
14690000,50.130152,53.21111,3,142.0,4,7,0
10000000,50.116623,53.200285,3,150.0,7,8,0
3560000,50.216669,53.25151500000001,2,64.5,15,24,0
3050000,50.147004,53.11479,2,52.4,5,9,0
10500000,50.10178300000001,53.195538,3,120.0,2,3,0
11000000,50.111638,53.197798,3,127.0,2,7,0
3800000,50.185973,53.245254,2,62.0,1,10,0
11500000,50.138803,53.205992,3,159.0,17,22,0
3650000,50.161521,53.204918000000006,2,64.3,20,27,0
11500000,50.08308,53.18751500000001,3,127.0,7,9,0
3500000,50.159356,53.212339,2,70.0,4,9,0
12800000,50.117387,53.202686,3,130.0,3,15,0
3100000,50.189944,53.225959,2,53.0,2,5,0
3500000,50.17955,53.242241,2,64.7,12,18,0
10500000,50.117369,53.18977099999999,3,136.0,9,14,0
4700480,50.07769,53.18139100000001,2,63.5,1,7,0
12000000,50.0837,53.190003,3,117.0,6,6,0
3950000,50.152457,53.224277,2,68.0,4,16,0
11500000,50.112707,53.198478,3,128.7,8,10,0
12150000,50.211486,53.247528,3,114.0,2,10,0
4500000,50.148199,53.18970600000001,2,78.0,18,24,0
