adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Санкт-Петербург, Варшавская улица, 59, Новоизмайловское, Санкт-Петербург",90.0,22/23,13853,23500000,3,22,2008,59.852384,30.31364
"Планерная ул, 71к3, Юнтолово, Санкт-Петербург",89.6,3/17,16067,10500000,3,,,60.026114,30.218077
"Санкт-Петербург, Спасский пер. 4, Сенной округ, Санкт-Петербург",34.9,5/5,14612,5485000,2,5,1875,59.92929,30.317737
"Санкт-Петербург, Кемская улица, 1, Чкаловское, Санкт-Петербург",146.2,3/9,17531,52000000,4,9,2007,59.973221,30.259571
"Санкт-Петербург, улица Чехова, 11-13, Литейный округ, Санкт-Петербург",182.0,4/5,15324,16500000,5,5,1877,59.937801,30.353238
"ул Долгоозерная 14, Юнтолово, Санкт-Петербург",101.0,18/19,16837,18250000,3,18,2004,60.017423,30.246374
"Уральская улица, 6, Остров Декабристов, Санкт-Петербург",48.8,7/10,16808,7353500,1,12,2018,59.951101,30.265248
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",103.0,4/18,18397,19920000,3,14,2012,59.963539,30.273171
"Санкт-Петербург, Свечной переулок, 7/11, Владимирский округ, Санкт-Петербург",111.0,4/4,13854,15500000,3,4,1868,59.92492,30.348576
"Санкт-Петербург, улица Карпинского, 34к5, подъезд 4, Гражданка, Санкт-Петербург",47.0,2/9,16068,4900000,2,9,1970,60.012561,30.422085
"Санкт-Петербург, Суздальское шоссе, 28к2, Коломяги, Санкт-Петербург",56.0,10/25,14613,7500000,2,26,2016,60.05817,30.271123
"Санкт-Петербург, Комендантский проспект, 58к1, Коломяги, Санкт-Петербург",35.0,20/23,15326,5369369,1,25,2018,60.033265,30.22804
"Санкт-Петербург, Большая Пушкарская улица, 1, Введенский, Санкт-Петербург",539.0,1/5,16810,650000000,7,6,1908,59.954475,30.296869
"Санкт-Петербург, улица Олеко Дундича, 8к1, Балканский, Санкт-Петербург",63.0,2/5,17532,5850000,3,,,59.828717,30.391003
"Санкт-Петербург, Зеленогорск, Приморское шоссе, 595А, Зеленогорск, Санкт-Петербург",31.0,1/3,16838,3450000,1,,1974,60.193149,29.653136
"Санкт-Петербург, Кондратьевский проспект, 48, Финляндский округ, Санкт-Петербург",74.0,13/17,18398,7400000,3,6,1936,59.972775,30.38803
"Санкт-Петербург, проспект Маршала Жукова, 64к1, Ульянка, Санкт-Петербург",60.0,6/9,13855,4995000,3,9,1970,59.836979,30.201405
"деревня , , Виллозское городское поселение, Ломоносовский район, Ленинградская область, Ретселя, 1, Красное Село, Санкт-Петербург",42.7,1/2,14618,1200000,1,2,1968,59.689999,30.138029
"Санкт-Петербург, Петродворцовый район, посёлок Стрельна, Львовская улица, 19, Петергоф, Санкт-Петербург",40.0,6/9,15327,3749999,1,9,2002,59.851291,30.029099
"Санкт-Петербург, улица Васи Алексеева, 22, Автово, Санкт-Петербург",104.3,3/5,16069,9290000,4,5,1959,59.877597,30.273414
"Санкт-Петербург, улица Куйбышева, 10, Посадский, Санкт-Петербург",21.0,3/6,16811,2750000,0,6,1912,59.955007,30.326926
"Санкт-Петербург, Исполкомская улица, 3, Смольнинское, Санкт-Петербург",97.0,2/7,17535,19900000,3,7,2004,59.926643,30.379756
"Санкт-Петербург, улица Лётчика Пилютова, 5, Сосновая поляна, Санкт-Петербург",45.2,4/9,13856,3880000,2,9,1971,59.841572,30.13775
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Московское шоссе, 246, Колпино, Санкт-Петербург",143.0,12/12,16070,8500000,5,12,2014,59.759619,30.474277
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 14, Санкт-Петербург",40.0,2/25,14619,3700000,1,25,2015,60.049644,30.42858
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Пушкинская улица, 40, Пушкин, Санкт-Петербург",50.6,8/25,16840,3310000,2,10,2005,59.720091,30.41206
"пос. Новогорелово, ул. Современников, д. 13, корп. 1, Красное Село, Санкт-Петербург",55.0,3/8,18399,3155000,2,14,2018,59.788954,30.164107
"Санкт-Петербург, проспект Ветеранов, 13, Дачное, Санкт-Петербург",36.5,2/12,15330,4200000,1,12,1969,59.83706,30.27141
"Маршала Захарова ул, 18к1, Южно-Приморский округ, Санкт-Петербург",96.1,10/11,16814,7998000,3,10,2009,59.857992,30.172057
"Санкт-Петербург, улица Шателена, 8, подъезд 3, Светлановское, Санкт-Петербург",31.0,2/5,17537,4490000,1,,,60.003079,30.362149
"Санкт-Петербург, проспект Славы, 43, Георгиевский, Санкт-Петербург",81.0,6/10,16072,11200000,4,10,1977,59.851783,30.365626
"Санкт-Петербург, Фарфоровская улица, 22, Ивановский округ, Санкт-Петербург",28.0,5/10,18401,3050000,0,4,1929,59.879728,30.434392
"Санкт-Петербург, улица Бутлерова, 14, Гражданка, Санкт-Петербург",42.3,4/5,14620,4050000,2,5,1963,60.000627,30.3837
"Санкт-Петербург, Курляндская улица, 20, Екатерингофский, Санкт-Петербург",82.4,3/6,13859,6850000,2,,,59.911687,30.283726
"Санкт-Петербург, проспект Ветеранов, 171к5, Сосновая поляна, Санкт-Петербург",24.0,8/12,16841,3100000,0,13,2017,59.841975,30.113127
"улица Рубинштейна дом 26, Владимирский округ, Санкт-Петербург",122.0,5/5,17541,10000000,4,6,1822,59.929357,30.344605
"Санкт-Петербург, улица Достоевского, 24/9, Владимирский округ, Санкт-Петербург",162.5,1/4,16815,13796000,4,5,1875,59.924479,30.349438
"Санкт-Петербург, Левашовский проспект, 2, Чкаловское, Санкт-Петербург",86.0,4/5,15332,12000000,2,6,1956,59.965854,30.297911
"Санкт-Петербург, проспект Стачек, 67к2, Автово, Санкт-Петербург",104.0,2/5,16073,8500000,4,7,1952,59.871649,30.258744
"Санкт-Петербург, Новоизмайловский проспект, 30к3, Новоизмайловское, Санкт-Петербург",55.6,2/5,18402,7000000,3,5,1962,59.859452,30.30887
"Кадетская В.О. линия, д.31, Васильевский, Санкт-Петербург",174.7,2/4,16842,15700000,5,3,1917,59.947284,30.284373
"Суворовский пр-кт, 36, Смольнинское, Санкт-Петербург",59.0,1/5,19154,6900000,2,5,1907,59.941101,30.379226
"посёлок Стрельна, Петродворцовый район, Санкт-Петербург, улица Гоголя, 7, Петергоф, Санкт-Петербург",44.1,1/5,17545,3400000,2,5,1973,59.852312,30.023916
"Санкт-Петербург, 2-я Комсомольская улица, 54, Константиновское, Санкт-Петербург",54.7,2/3,13860,5100000,3,3,1960,59.827257,30.144101
"Архитектора Белова ул, 5к1, Парголово, Санкт-Петербург",28.0,14/24,16822,3370000,0,25,2018,60.070047,30.316245
"Санкт-Петербург, Краснопутиловская улица, 27, Автово, Санкт-Петербург",70.0,5/5,15334,8000000,3,5,1958,59.869449,30.268069
"Санкт-Петербург, улица Десантников, 28, Юго-Запад, Санкт-Петербург",64.0,6/9,16074,5900000,3,9,1978,59.84998,30.200228
"Россия, Санкт-Петербург, Центральный р-н, метро Чернышевская, Дегтярный пер., 26, Смольнинское, Санкт-Петербург",79.0,7/7,18404,15379000,2,8,2016,59.940339,30.38282
"Санкт-Петербург, улица Маршала Казакова, 70к1, Южно-Приморский округ, Санкт-Петербург",37.3,13/20,16848,3950000,1,21,2018,59.866689,30.175012
"Санкт-Петербург, улица Обручевых, 5, Академическое, Санкт-Петербург",96.6,2/20,17550,11940000,3,20,2018,60.012336,30.379226
"Санкт-Петербург, Санкт-Петербург г., Адмиралтейская, Адмиралтейский, Мойки реки наб. д. 84, Адмиралтейский округ, Санкт-Петербург",79.3,3/4,19155,28900000,2,,,59.930219,30.302106
"Санкт-Петербург, Можайская улица, 15, Семёновский, Санкт-Петербург",54.0,6/6,19965,6000000,3,5,1908,59.916613,30.326585
"Санкт-Петербург, Северный проспект, 87к1, Гражданка, Санкт-Петербург",46.2,2/9,20623,5000000,2,9,1966,60.017261,30.422633
"Санкт-Петербург, улица Белышева, 4, Невский округ, Санкт-Петербург",65.8,9/9,15349,5750000,3,9,1978,59.913496,30.453751
"ул Пражская, 39, № 72, Санкт-Петербург",59.0,9/9,16076,6100000,3,9,1966,59.863107,30.400418
"Санкт-Петербург, улица Адмирала Трибуца, 8, Южно-Приморский округ, Санкт-Петербург",61.2,5/9,18405,10500000,2,19,2016,59.852972,30.148108
"Санкт-Петербург, Ланское шоссе, 65, Чёрная речка, Санкт-Петербург",55.4,1/5,17551,4800000,3,5,1961,59.995476,30.320854
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",81.1,11/14,16849,11280000,2,15,,59.962435,30.405062
"Санкт-Петербург, улица Тельмана, 45к1, Народный, Санкт-Петербург",50.7,1/9,20624,5500000,2,9,1986,59.891999,30.485488
"Санкт-Петербург, Среднерогатская улица, 20, Звёздное, Санкт-Петербург",26.2,4/17,19967,2650000,0,18,2019,59.820282,30.3382
"Санкт-Петербург, Санкт-Петербург г., Маяковская, Центральный, Суворовский пр. д. 32, Смольнинское, Санкт-Петербург",170.0,2/6,19159,34900000,4,,,59.941479,30.381634
"Санкт-Петербург, Русановская улица, 19к3, Народный, Санкт-Петербург",28.0,15/15,21329,3300000,0,24,2015,59.863649,30.515078
"Смольный пр-кт, 17, Смольнинское, Санкт-Петербург",170.0,6/9,22014,34640000,4,10,2017,59.944292,30.39651
"Санкт-Петербург, Кондратьевский проспект, 48, Финляндский округ, Санкт-Петербург",34.0,9/17,18406,3360000,1,6,1936,59.972775,30.38803
"Санкт-Петербург, улица Оптиков, 49к2, № 65, Санкт-Петербург",41.0,3/17,17553,5950000,1,17,2009,59.999287,30.2253
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",100.5,3/14,16850,13600000,2,15,,59.962435,30.405062
"Санкт-Петербург, Дачный проспект, 33к1, Дачное, Санкт-Петербург",60.0,7/16,19162,3420000,2,9,1966,59.836943,30.263236
"Санкт-Петербург, Среднерогатская улица, 9, Звёздное, Санкт-Петербург",70.0,2/23,19970,7275000,2,24,2016,59.82509,30.333071
"Санкт-Петербург, набережная реки Фонтанки, 87, Сенной округ, Санкт-Петербург",35.0,1/3,21330,6250000,2,,,59.924826,30.324618
"Капитанская ул, 4, Остров Декабристов, Санкт-Петербург",79.0,2/22,22020,16000000,3,23,2004,59.954773,30.214808
"Санкт-Петербург, Лермонтовский проспект, 8/10А, подъезд 1, Коломна, Санкт-Петербург",19.0,2/4,20628,2649000,0,,,59.923374,30.292072
"Санкт-Петербург, Комендантский проспект, 58к1, Коломяги, Санкт-Петербург",85.0,23/23,18412,14000000,3,25,2018,60.033265,30.22804
"Александровской Фермы пр-кт., д.2, Обуховский округ, Санкт-Петербург",36.7,4/18,17556,4100000,1,18,1991,59.864101,30.454056
"Санкт-Петербург, Московское шоссе, 10, Звёздное, Санкт-Петербург",48.0,6/7,16852,6000000,2,,,59.800096,30.398046
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",36.7,21/24,19163,5500000,1,26,2017,59.822711,30.33308
"посёлок Мурино, Всеволожский район, Ленинградская область, улица Шоссе в Лаврики, 74к3, подъезд 1, Санкт-Петербург",30.8,4/17,22022,2320193,1,17,2014,60.062382,30.458053
"посёлок Парголово, Санкт-Петербург, улица Николая Рубцова, 9, Парголово, Санкт-Петербург",35.2,2/23,21333,4200000,1,28,2014,60.076816,30.340931
"Санкт-Петербург, Брюсовская улица, 11к2, Пискарёвка, Санкт-Петербург",54.0,4/14,20635,5300000,2,14,1973,59.98796,30.420064
"Энгельса пр-кт, 97, Светлановское, Санкт-Петербург",283.7,24/25,19972,39000000,5,25,2004,60.025992,30.320324
"Коммунаров (Горелово) ул, 114, Горелово, Санкт-Петербург",45.0,9/10,18414,4050000,2,10,1987,59.784254,30.148233
"Санкт-Петербург, Туристская улица, 10, № 65, Санкт-Петербург",29.1,14/16,17558,5300000,0,16,2007,59.99701,30.208088
"Санкт-Петербург, Большой проспект Петроградской стороны, 69, Кронверкское, Санкт-Петербург",112.0,4/6,19167,12000000,5,,1910,59.964268,30.303813
"Санкт-Петербург, Туристская улица, 28к3, № 65, Санкт-Петербург",27.5,8/25,21336,4050000,0,25,2009,59.99701,30.208088
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",66.3,2/23,19973,7065000,3,26,2017,59.822711,30.33308
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",99.0,11/14,16853,14185000,3,15,,59.962435,30.405062
"Санкт-Петербург, проспект Королёва, 48к1, Юнтолово, Санкт-Петербург",79.0,10/12,18415,8490000,3,12,1989,60.023812,30.249959
"ул Республиканская, 6, Малая Охта, Санкт-Петербург",119.0,10/12,22024,18700000,3,13,2001,59.934303,30.404262
"Санкт-Петербург, Транспортный переулок, 2А, Лиговка-Ямская, Санкт-Петербург",49.8,1/6,20641,7500000,1,6,1999,59.920956,30.357038
"Санкт-Петербург, Петровский проспект, 24к3, Петровский округ, Санкт-Петербург",36.9,1/9,17560,9200000,1,9,2018,59.959435,30.25922
"Санкт-Петербург, Купчинская улица, 33, Балканский, Санкт-Петербург",63.6,3/9,19169,6300000,3,9,1976,59.826474,30.396447
"Санкт-Петербург, проспект Пархоменко, 18, Светлановское, Санкт-Петербург",42.5,4/5,19974,5200000,2,5,1965,60.000303,30.336691
"Санкт-Петербург, улица Фаворского, 15к1, Гражданка, Санкт-Петербург",134.9,11/17,21339,13500000,4,17,2000,60.003291,30.38882
"Московский пр-кт, 86А, Московская застава, Санкт-Петербург",46.6,6/8,18418,6800000,3,,,59.9033,30.31921
"Санкт-Петербург, 8-я линия Васильевского острова, 63, Васильевский, Санкт-Петербург",130.6,1/2,20643,10950000,5,3,1909,59.945414,30.27415
"Петергофское шоссе, 17к1, Южно-Приморский округ, Санкт-Петербург",70.0,17/25,22025,8200010,2,25,2008,59.847706,30.187113
"Санкт-Петербург, улица Грибалёвой, 7к3, Сампсониевское, Санкт-Петербург",41.8,11/13,17562,6095000,1,14,2018,59.983671,30.356714
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",91.8,6/14,16854,12430000,2,15,,59.962435,30.405062
"Ждановская ул, 29, Чкаловское, Санкт-Петербург",47.0,5/9,19975,10500000,1,9,2009,59.958246,30.279971
"Санкт-Петербург, Приморский проспект, 46, № 65, Санкт-Петербург",47.8,3/7,18421,10100000,1,8,2017,59.983067,30.26859
"посёлок Мурино, Всеволожский район, Ленинградская область, Воронцовский бульвар, 4, Санкт-Петербург",36.0,10/12,21340,3120000,1,22,2014,60.052501,30.420693
"Санкт-Петербург, Репищева улица, 17к1, Коломяги, Санкт-Петербург",66.5,3/12,19171,7200000,3,12,1994,60.02477,30.284813
"Санкт-Петербург, Петергофское шоссе, 17к1, Южно-Приморский округ, Санкт-Петербург",66.1,15/23,20644,7100000,2,25,2008,59.847706,30.187113
"Санкт-Петербург, Комендантский проспект, 60к1, подъезд 5, Коломяги, Санкт-Петербург",34.0,17/19,17564,4590000,1,28,2017,60.035274,30.225596
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",118.3,9/14,16855,15625000,3,15,,59.962435,30.405062
"Санкт-Петербург, Ивановская улица, 6, Ивановский округ, Санкт-Петербург",84.0,2/8,22028,8670000,3,8,1960,59.875817,30.446672
"Санкт-Петербург, Шпалерная улица, 11, Литейный округ, Санкт-Петербург",126.1,5/5,18422,14700000,4,5,1908,59.948392,30.345027
"Санкт-Петербург, Дибуновская улица, 50, Чёрная речка, Санкт-Петербург",82.2,6/10,21341,14500000,2,25,2005,59.98485,30.260029
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",43.1,2/23,19976,4630000,2,26,2017,59.822711,30.33308
"Санкт-Петербург, Комендантский проспект, 28к1, Озеро Долгое, Санкт-Петербург",80.0,13/16,19172,11300000,3,17,1993,60.014005,30.250516
"Санкт-Петербург, улица Маршала Казакова, 68к1, Южно-Приморский округ, Санкт-Петербург",58.4,19/25,17567,5900000,2,25,2012,59.865817,30.179046
"Санкт-Петербург, улица Черняховского, 5Б, Лиговка-Ямская, Санкт-Петербург",75.0,3/5,22030,6800000,3,5,1903,59.915571,30.356939
"Санкт-Петербург, Большой Сампсониевский проспект, 96, Сампсониевское, Санкт-Петербург",88.0,4/5,16857,9000000,4,5,1936,59.989081,30.332873
"Санкт-Петербург, Двинская улица, 17, Морские ворота, Санкт-Петербург",32.0,1/10,20646,3500000,1,9,1970,59.909508,30.241479
"Санкт-Петербург, Лыжный переулок, 3, № 65, Санкт-Петербург",99.1,4/15,18430,15000000,3,19,2012,59.999705,30.199078
"ул. Среднерогатская, д. 20, Звёздное, Санкт-Петербург",22.9,3/17,19173,2900000,0,18,2019,59.820282,30.3382
"Санкт-Петербург, 14-я линия Васильевского острова, 45, Васильевский, Санкт-Петербург",86.0,5/5,21348,7990000,3,5,1901,59.940952,30.268015
"Санкт-Петербург, проспект Маршала Жукова, 48к1, Дачное, Санкт-Петербург",57.0,21/24,17570,8590000,2,24,2008,59.844117,30.212364
"Санкт-Петербург, Русановская улица, 11, Народный, Санкт-Петербург",27.5,2/24,19979,3300000,0,23,2013,59.863513,30.505943
"Санкт-Петербург, улица Маршала Казакова, 68к1, Южно-Приморский округ, Санкт-Петербург",117.8,13/20,22033,8890000,5,25,2012,59.865817,30.179046
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",99.8,2/14,16858,13550000,3,15,,59.962435,30.405062
"Балтийский бульвар, 4, Южно-Приморский округ, Санкт-Петербург",99.0,7/24,20647,9890000,3,25,2018,59.868984,30.155707
"Санкт-Петербург, Уральская улица, 6, Остров Декабристов, Санкт-Петербург",44.2,4/10,18432,6765878,1,12,2018,59.951101,30.265248
"Россия, Ленинградская область, Ломоносовский р-н, метро Проспект Ветеранов, Новогорелово пос. (Виллозское с.п.), Современников ул, 11/6, Красное Село, Санкт-Петербург",87.0,2/16,19175,6260000,3,18,2018,59.790177,30.163415
"Санкт-Петербург, Среднерогатская улица, 9, Звёздное, Санкт-Петербург",27.7,19/23,19980,3290000,0,24,2016,59.82509,30.333071
"Санкт-Петербург, Кременчугская улица, 17к3, Лиговка-Ямская, Санкт-Петербург",70.0,4/9,17571,13700000,2,11,2015,59.92042,30.370063
"Санкт-Петербург, улица Гастелло, 28, Московская застава, Санкт-Петербург",97.0,2/7,21350,11900000,4,7,1957,59.858552,30.332487
"Санкт-Петербург, Ленская улица, 1к1, Пороховые, Санкт-Петербург",75.0,1/9,22036,6500000,4,9,1982,59.941033,30.479182
"Санкт-Петербург, 2-я Комсомольская улица, 6к2, подъезд 2, Сосновая поляна, Санкт-Петербург",66.2,3/4,16860,5400000,2,4,1954,59.842983,30.14508
"Санкт-Петербург, Учебный переулок, 10к1, Сосновское, Санкт-Петербург",46.3,7/9,20648,4580000,2,9,1977,60.037872,30.340635
"Санкт-Петербург, Комендантский проспект, 67, подъезд 4, Коломяги, Санкт-Петербург",39.0,23/23,19176,5100000,1,25,2017,60.038245,30.225102
"Аптекарская набережная, д. 6, Аптекарский остров, Санкт-Петербург",203.0,7/7,18437,41000000,4,7,2009,59.972811,30.327546
"Санкт-Петербург, улица Осипенко, 5к1, Пороховые, Санкт-Петербург",61.0,7/12,19981,6000000,3,12,1984,59.947982,30.482991
"Санкт-Петербург, Петергофское шоссе, 72к6, Сосновая поляна, Санкт-Петербург",32.6,4/8,22039,3215000,1,,2018,59.835247,30.154567
"Санкт-Петербург, улица Оптиков, 34к1, № 65, Санкт-Петербург",26.0,12/22,21351,4550000,0,22,2015,59.999287,30.2253
"Санкт-Петербург, Петровский проспект, 24к3, Петровский округ, Санкт-Петербург",67.0,4/9,17572,17570000,2,9,2018,59.959435,30.25922
"Санкт-Петербург, Басков переулок, 2, Литейный округ, Санкт-Петербург",221.9,8/8,16862,86219000,5,10,2018,59.939767,30.353184
"Санкт-Петербург, Арцеуловская аллея, 23к1, Коломяги, Санкт-Петербург",25.0,9/11,20650,3200000,0,21,2017,60.042415,30.224716
"ул Труда, 22/15, Колпино, Санкт-Петербург",70.0,2/5,19179,5300000,3,3,1952,59.749275,30.611585
"ул Союза Печатников, 13-15, Коломна, Санкт-Петербург",125.0,1/6,18448,9900000,3,,,59.923559,30.290518
"Санкт-Петербург, проспект Кузнецова, 29к1, Южно-Приморский округ, Санкт-Петербург",58.5,6/9,17573,5300000,2,9,1979,59.849451,30.184265
"Почтамтская, 8, Адмиралтейский округ, Санкт-Петербург",27.0,1/3,21353,4990000,0,,,59.932414,30.303678
"Санкт-Петербург, Белградская улица, 6к1, Купчино, Санкт-Петербург",64.8,3/9,19983,6200000,3,,,59.870795,30.358835
"Санкт-Петербург, Галерная ул. 44 Б, Адмиралтейский округ, Санкт-Петербург",82.0,4/4,22041,11150000,3,5,1899,59.931129,30.287347
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",79.2,3/14,16864,10700000,2,15,,59.962435,30.405062
"Санкт-Петербург, Придорожная аллея, 13, Парнас, Санкт-Петербург",17.0,2/16,20651,1719000,0,15,1978,60.070828,30.321357
"Санкт-Петербург, Авангардная улица, 26к1, Урицк, Санкт-Петербург",67.7,12/16,19180,7700000,2,16,2006,59.828039,30.183708
"Санкт-Петербург, улица Грибалёвой, 7к3, Сампсониевское, Санкт-Петербург",85.1,2/12,17574,10880000,3,14,2018,59.983671,30.356714
"Санкт-Петербург, улица Стойкости, 2/11, Ульянка, Санкт-Петербург",45.6,7/9,21354,5900000,2,9,1969,59.8285,30.220368
"Санкт-Петербург, Богатырский проспект, 58к2, № 65, Санкт-Петербург",58.2,16/17,18451,6990000,2,17,2007,60.008698,30.202132
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",143.0,7/10,19984,27730000,3,15,2017,59.962719,30.267485
"Санкт-Петербург, Захарьевская ул. 25, Литейный округ, Санкт-Петербург",91.1,5/5,22044,15800000,2,4,1887,59.947509,30.358538
"Кирочная улица, д. 64, Смольнинское, Санкт-Петербург",109.0,3/12,18452,29900000,3,12,2009,59.940835,30.386377
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",128.1,13/14,16865,17370000,3,15,,59.962435,30.405062
"ул Старорусская, 5/3, Смольнинское, Санкт-Петербург",25.0,2/7,20652,2900000,0,6,1916,59.932622,30.384311
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",229.0,12/12,19985,67150000,4,15,2017,59.962719,30.267485
"посёлок Парголово, Санкт-Петербург, улица Николая Рубцова, 12к1, подъезд 1, Парголово, Санкт-Петербург",37.8,25/25,19183,4500000,1,27,2012,60.076318,30.337643
"Санкт-Петербург, улица Черкасова, 12к1, № 21, Санкт-Петербург",46.0,1/9,21355,4500000,2,9,1975,60.029036,30.42858
"Санкт-Петербург, улица Карпинского, 8, Гражданка, Санкт-Петербург",49.0,2/9,17576,5400000,2,,,59.998801,30.382397
"Санкт-Петербург, Пискарёвский проспект, 145к2, Полюстрово, Санкт-Петербург",73.7,3/13,22045,5933655,3,5,1969,60.002607,30.448432
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",115.0,13/14,16866,16545000,3,15,,59.962435,30.405062
"Россия г Санкт-Петербург, пр-кт Индустриальный, д. 13, Пороховые, Санкт-Петербург",51.7,4/12,20655,4900000,2,,,59.939406,30.47761
"9-я Советская улица, д. 17, Смольнинское, Санкт-Петербург",51.0,2/7,18456,8857080,2,5,1879,59.937292,30.374932
"Луначарского пр-кт, 15к1, Сосновское, Санкт-Петербург",89.2,14/25,21356,13500000,2,25,2007,60.04211,30.333448
"Санкт-Петербург, улица Адмирала Черокова, 22, подъезд 1, Южно-Приморский округ, Санкт-Петербург",23.9,3/18,17577,3800000,0,18,2015,59.850807,30.136088
"Санкт-Петербург, Северный проспект, 63к1, Академическое, Санкт-Петербург",45.0,16/17,19987,5000000,1,16,2003,60.642459,29.262647
"Россия, Санкт-Петербург, Петродворцовый р-н, метро Проспект Ветеранов, Петергоф г., Петергофская ул., 8, Петергоф, Санкт-Петербург",129.0,5/5,19186,13850000,5,5,2013,59.874734,29.86212
"Санкт-Петербург, проспект Космонавтов, 65к2, Звёздное, Санкт-Петербург",67.9,21/25,22046,9400000,2,25,2011,59.836685,30.358017
"территория Славянка, посёлок Шушары, Пушкинский район, Санкт-Петербург, Колпинское шоссе, 34к3, Пушкин, Санкт-Петербург",44.0,4/9,18458,3700000,2,9,2013,59.725961,30.451397
"Санкт-Петербург, улица Корнея Чуковского, 7к3, Полюстрово, Санкт-Петербург",39.0,11/19,20656,4080000,1,19,2016,60.029211,30.459239
"Санкт-Петербург, Малая Бухарестская улица, 5к3, № 75, Санкт-Петербург",59.0,1/7,21358,6200000,2,10,2006,59.84814,30.41409
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",96.8,8/14,16868,13095000,2,15,,59.962435,30.405062
"Санкт-Петербург, Петергофское шоссе, 86к1, Сосновая поляна, Санкт-Петербург",24.6,4/8,19188,2332000,0,4,1995,59.835247,30.154567
"Санкт-Петербург, проспект Луначарского, 78к5А, Северный, Санкт-Петербург",33.5,12/26,22048,4850000,1,26,2011,60.059571,30.452951
"Санкт-Петербург, улица Ворошилова, 31к1, Правобережный, Санкт-Петербург",42.0,16/25,17578,5000000,1,22,2012,59.932635,30.463084
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",108.6,5/11,19988,27700000,3,15,2017,59.962719,30.267485
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",118.3,13/14,16869,16880000,3,15,,59.962435,30.405062
"Санкт-Петербург, территория Усть-Славянка, Советский проспект, 43к1, Рыбацкое, Санкт-Петербург",62.0,16/23,21359,6350000,2,23,2017,59.829495,30.538246
"Санкт-Петербург, Богатырский проспект, 51к1, № 65, Санкт-Петербург",57.0,10/16,18461,7250000,2,16,2005,60.008698,30.202132
"Брестский б-р, 11, Южно-Приморский округ, Санкт-Петербург",70.7,10/13,20658,7400000,3,13,1994,59.853794,30.196635
"Санкт-Петербург, Петергофское шоссе, 86к1, Сосновая поляна, Санкт-Петербург",53.9,5/8,19189,4786000,2,4,1995,59.835247,30.154567
"пр-т Героев, д. 18, лит. А, Южно-Приморский округ, Санкт-Петербург",55.6,20/22,17581,5155000,2,23,2017,59.86673,30.167709
"Санкт-Петербург, Думская улица, 5/22, № 78, Санкт-Петербург",77.0,2/5,22050,9999999,2,4,1848,59.93351,30.328543
"Санкт-Петербург, улица Маринеско, 6, Автово, Санкт-Петербург",66.7,5/5,19989,8400000,3,5,1954,59.870041,30.266434
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",124.3,13/14,16870,17560000,3,15,,59.962435,30.405062
"Шаумяна пр-кт д.81, Малая Охта, Санкт-Петербург",34.0,2/5,18462,4599990,1,5,1960,59.922373,30.424295
"посёлок Мурино, Всеволожский район, Ленинградская область, бульвар Менделеева, 22, подъезд 1, Санкт-Петербург",31.6,7/12,21361,3900000,1,14,2015,60.055488,30.422822
"Санкт-Петербург, улица Ярослава Гашека, 8, Балканский, Санкт-Петербург",65.8,8/9,20659,5700000,3,9,1974,59.833986,30.394444
"Санкт-Петербург, улица Есенина, 28к1, Парнас, Санкт-Петербург",60.0,5/9,19193,6000000,3,,,60.070828,30.321357
"Россия, Санкт-Петербург, улица Жукова, 1, Финляндский округ, Санкт-Петербург",152.9,14/14,16871,26750000,3,15,,59.962435,30.405062
"Санкт-Петербург, улица Тельмана, 40, № 54, Санкт-Петербург",31.0,4/9,17587,4200000,1,,,59.893642,30.487788
