area,floor,floors_total,latitude,longitude,price,rooms,year
75.5,17,18,53.24420300000001,50.204101,6150000,2,0
30.0,4,9,53.092716,50.163273,1620000,1,2017
127.0,1,3,53.191228,50.110569,4690000,3,1917
68.0,11,12,53.23519200000001,50.246798,3650000,3,1981
56.7,5,5,53.118962,50.085335,2600000,3,1960
120.0,3,16,53.248702,50.23768,7900000,4,2009
44.7,15,16,53.200328000000006,50.141624,3350000,1,1986
88.0,9,10,53.30733100000001,50.286109,3550000,3,0
76.0,14,22,53.216998,50.166444,6400000,2,2014
43.2,4,9,53.248406,50.231958,3150000,2,1971
44.0,4,5,53.235085,50.24431,2700000,2,1967
38.0,8,9,53.19495,50.20486500000001,1899000,1,1967
140.0,3,7,53.182578,50.076029,9500000,3,1996
