adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Самара, Береговая улица, 8В, Промышленный, Самара, Самарская область",49.0,1/3,2000000,1,3.0,1972.0,53.201353,50.288094
"Самара, Минская улица, 37, Кировский, Самара, Самарская область",366.0,4/9,2000000,1,9,1980,53.235963,50.24625
"Самара, проспект Карла Маркса, 356, Промышленный, Самара, Самарская область",23.0,5/5,1150000,2,5.0,1971.0,53.237963,50.23539
"Самарская область,Самара,Советский район,Стара Загора улица,55, Промышленный, Самара, Самарская область",29.0,5/9,2100000,1,9.0,1968.0,53.229571,50.209922
"Самара, поселок Прибрежный, Звёздная улица, 11, Красноглинский, Самара, Самарская область",31.0,2/5,1100000,1,5.0,1968.0,53.487182,49.847264
"поселок Прибрежный, Самара, Парусная улица, 12, Красноглинский, Самара, Самарская область",52.0,1/5,1850000,3,5.0,1966.0,53.486844,49.851611
"Самара, Солнечная улица, 15, Промышленный, Самара, Самарская область",68.0,5/12,4450000,2,12,1987,53.241363,50.192854
"Самара, улица Георгия Димитрова, 25, подъезд 3, Кировский, Самара, Самарская область",62.6,1/5,3050000,3,5,1970,53.252312,50.238273
"ул. Охтинская д.16, Куйбышевский, Самара, Самарская область",34.1,2/2,1149000,1,2,1980,53.138332,50.2383
"Самара, улица Стара Загора, 181, Кировский, Самара, Самарская область",59.8,9/9,3450000,3,9.0,1974.0,53.245114,50.235282
"Самара, Спортивная улица, 23, Ленинский, Самара, Самарская область",68.3,2/4,3800000,3,4.0,1975.0,53.24611,50.061296
"Нагорная 148, Кировский, Самара, Самарская область",85.0,9/10,5300000,4,10.0,1992.0,53.236335,50.256563
"Россия, Самарская область, Самара, Металлургов пр-кт, 96, Кировский, Самара, Самарская область",44.0,3/5,2800000,2,5.0,1960.0,53.239283,50.279353
"Самарская область,Самара,Советский,Запорожская улица,43, Советский, Самара, Самарская область",17.0,3/5,950000,1,5,1973,53.210242,50.220945
"Самара, Заводское шоссе, 71В, Промышленный, Самара, Самарская область",34.0,5/10,1900000,1,9,1981,53.209913,50.284537
"Самара, Красноармейская улица, 74, Железнодорожный, Самара, Самарская область",108.2,4/12,7900000,3,11,2001,53.189533,50.118429
"Россия, Самарская область, Самара, Свободы ул, 152а, Кировский, Самара, Самарская область",30.0,1/2,1400000,1,,,53.224902,50.263956
"Самара, улица Алексея Толстого, 26, Самарский, Самара, Самарская область",100.0,4/6,8700000,4,2.0,1917.0,53.180878,50.078481
"Самара, улица Венцека, 41/43, Самарский, Самара, Самарская область",43.1,2/4,2200000,2,3.0,1917.0,53.184974,50.089342
"посёлок Соцгород, Самара, улица Игоря Егорова, 7, Куйбышевский, Самара, Самарская область",34.1,4/5,1550000,1,5.0,1994.0,53.107184,50.084661
"Самара, Красноармейская улица, 137, Железнодорожный, Самара, Самарская область",72.0,1/2,2800000,3,2.0,1950.0,53.188168,50.127484
"Самара, проспект Карла Маркса, 324, Промышленный, Самара, Самарская область",43.5,2/9,2550000,2,9,1969,53.235726,50.230548
"Самарская область,Самара,Промышленный,Георгия Димитрова улица,77, Промышленный, Самара, Самарская область",60.0,7/9,3400000,3,9,1979,53.257317,50.229631
"Самарская область,Самара,Ленинский район,Осипенко улица,136, Ленинский, Самара, Самарская область",57.5,9/12,3700000,2,12.0,1979.0,53.201186,50.144875
"Самара, улица Стара Загора, 116, Промышленный, Самара, Самарская область",31.0,9/9,1950000,1,9.0,1979.0,53.24423,50.22399
"посёлок Совхоз Волгарь, Куйбышевский район, Самара, Новокомсомольская улица, 9, Куйбышевский, Самара, Самарская область",78.0,1/5,3600000,4,5,1979,53.154362,50.089404
"Самара, проспект Кирова, 130, Кировский, Самара, Самарская область",90.0,2/10,5200000,3,10.0,2011.0,53.230918,50.247283
"Самара, улица Маршала Устинова, 7, Красноглинский, Самара, Самарская область",31.0,2/3,1330000,1,5.0,1964.0,53.319619,50.314477
"Советская ул, 4, Кировский, Самара, Самарская область",34.0,9/9,1950000,1,9.0,1984.0,53.22446,50.271457
