area,floor,floors_total,latitude,longitude,price,rooms,year
49.0,5,5,59.827021,30.169407,4600000,2,0
71.0,4,25,59.870366,30.158986,7900000,3,0
38.0,16,18,59.728855,30.401936,3650000,1,0
76.4,6,9,59.87574100000001,30.460497,7950000,2,0
87.7,1,16,60.008698,30.202132,11200000,3,0
104.6,1,25,60.028096,30.335784000000004,10300000,3,0
45.2,8,9,59.83675699999999,30.174473,4150000,2,0
79.0,9,23,60.025565,30.322884,10340000,2,0
44.5,8,9,59.93046700000001,30.424447,5100000,2,0
38.0,16,27,60.075986,30.343797,4900000,1,0
60.0,4,18,60.032578,30.449376,5150000,2,0
41.0,15,17,59.99701,30.208088,6289000,1,0
34.7,20,22,60.054711,30.425795,4100000,1,0
32.7,1,5,59.788723,30.147344,3100000,1,0
71.3,3,6,59.872236,30.319704,16300000,2,0
64.0,8,9,60.029036,30.42858,5800000,3,0
96.0,2,4,59.916442,30.292135,12000000,2,0
60.0,4,5,59.917312,30.292736,7480000,1,0
79.6,7,25,60.07316700000001,30.332011,8500000,3,0
96.0,2,7,59.926278,30.366839,18595000,3,0
100.0,10,11,60.022553,30.314539,13700000,3,0
68.2,4,4,59.912558,30.346402,7500000,3,0
68.0,10,12,60.055111,30.440159,5200000,2,0
38.4,15,16,59.979326,30.512482,4000000,1,0
37.8,15,16,59.978818,30.370144,5140000,1,0
105.0,9,24,59.853812,30.349699,17500000,3,0
42.0,9,18,59.940366,30.223467,6400000,1,0
46.8,5,9,60.009737,30.393006,5500000,2,0
36.1,8,12,60.011014,30.407649,4300000,1,0
15.0,1,5,59.87026700000001,30.446807,1340000,1,0
69.0,4,4,59.966138,30.281687,10800000,2,0
237.0,3,6,59.94368299999999,30.360164,31900000,5,0
57.0,1,3,59.90862900000001,30.504577,5400000,3,0
43.9,9,24,60.031207,30.243419,5100000,1,0
64.8,2,5,59.955448,30.302474,10800000,3,0
78.0,1,3,59.926999,30.33352,11900000,3,0
78.6,4,5,59.94248,30.343788,13400000,4,0
16.0,1,9,60.012624,30.247722,1980000,0,0
48.2,5,12,59.858973,30.222506,4999000,2,0
108.8,6,6,59.942047,30.377349,21700000,3,0
97.0,1,5,59.916613,30.326585,10100000,3,0
60.0,1,6,59.921547,30.310667,7250000,2,0
43.0,5,15,59.843584,30.435497,4200000,1,0
52.9,4,16,59.954232,30.474223,6250000,2,0
78.9,2,5,60.031409,30.147668,7000000,3,0
60.0,1,5,59.878988,30.435146000000003,4690000,3,0
71.0,14,14,59.85260600000001,30.288407,8500000,2,0
313.0,4,4,59.941276,30.287778000000007,30000000,5,0
40.0,25,27,60.077431,30.345189,4100000,1,0
95.0,17,18,60.03201600000001,30.456212,7800000,4,0
34.8,11,23,60.056714,30.421968,3850000,1,0
26.0,11,27,60.039373,30.453912,2800000,0,0
39.0,3,10,59.978818,30.370144,5400000,1,0
87.8,8,8,59.939951,30.250812,18299000,3,0
105.0,13,13,60.018228,30.248773,13500000,3,0
64.2,5,5,59.98983199999999,30.29933,7780000,2,0
107.1,12,16,59.917362,30.446896,15400000,3,0
48.2,3,6,59.840849,30.312383,6700000,1,0
191.6,4,7,59.93328,30.23917,20000000,4,0
63.0,5,9,60.049334,30.384329,5390000,3,0
69.0,6,15,59.960485,30.418896000000004,10650000,2,0
67.5,4,4,59.960003,30.490231,6825000,2,0
62.7,3,21,60.053952,30.327196,6495000,2,0
46.2,10,18,59.93800400000001,30.482802000000003,5180000,1,0
64.3,22,25,60.053952,30.327196,7310000,2,0
34.0,15,25,59.90985600000001,30.455727000000003,4550000,1,0
40.0,3,9,59.961688,30.282496,7200000,1,0
21.0,3,4,60.050367,30.449789000000006,3000000,0,0
36.0,16,18,60.02843299999999,30.459311,3800000,1,0
22.2,9,27,60.080932,30.333035,3200000,0,0
80.3,5,5,59.929605,30.244021000000004,13900000,3,0
61.0,8,16,59.83809100000001,30.36903,7700000,2,0
81.0,6,6,59.93135899999999,30.240868,9800000,3,0
37.4,2,25,59.831485,30.370576,5200000,1,0
52.0,3,12,60.011923,30.253004,6200000,2,0
98.6,4,9,59.959435,30.259220000000006,21000000,3,0
35.0,15,18,59.859361,30.19182,4699000,1,0
