area,bank_500,bus_stop_500,cafe_500,cinema_500,distance_to_center,distance_to_subway,floor,floors_total,government_500,hospital_500,hotel_500,leisure_500,mean_salary,median_salary,nightlife_500,office_500,point_of_interest_500,price_per_m,rooms,school_500,shop_500,subway_station_500,tram_stop_500,univercity_500,vacancy_500
112.9,0,3,3,0,8358,1200,12,16,4,0,1,1,38,28,0,0,0,63020,2,1,4,0,3,0,8
42.0,0,0,0,0,11755,15000,3,5,0,0,0,0,32,30,0,0,0,48809,2,0,0,0,0,0,0
90.0,1,5,7,0,4683,1200,4,22,1,0,2,4,39,35,1,2,2,94444,2,0,15,0,3,0,23
43.0,1,4,0,0,2339,3400,3,9,0,0,0,0,31,30,0,1,0,55813,2,0,0,0,4,0,4
42.0,0,0,0,0,11728,15000,4,4,0,0,0,0,32,30,0,0,0,39285,2,0,0,0,0,0,0
92.4,2,7,8,0,4362,1400,6,24,0,2,1,3,41,35,3,2,3,77922,2,1,17,0,4,0,3
74.7,1,5,7,0,4738,1100,7,20,1,0,2,4,39,35,0,2,2,93708,2,0,17,0,3,0,23
93.0,1,9,2,0,2121,3800,9,17,0,0,1,0,40,32,0,4,2,86021,2,0,8,0,5,0,3
42.0,2,2,0,0,1487,4600,3,5,0,0,0,0,36,30,0,0,0,55476,2,0,2,0,0,0,5
43.0,0,15,6,0,8052,1600,3,5,0,0,0,2,39,32,0,4,1,53488,2,0,3,0,0,2,0
90.0,1,5,7,0,4683,1200,4,22,1,0,2,4,39,35,1,2,2,94444,2,0,15,0,3,0,23
45.2,1,1,1,0,4692,500,4,5,0,1,0,0,34,30,0,0,0,59292,2,0,9,0,0,0,1
80.0,2,1,2,0,5265,700,15,16,2,1,1,0,42,35,0,1,0,81237,2,1,17,0,0,0,4
45.0,1,6,2,1,6222,1100,4,5,0,0,0,1,36,32,0,1,1,55555,2,0,12,0,6,0,9
92.4,2,7,8,0,4362,1400,6,24,0,2,1,3,41,35,3,2,3,77922,2,1,17,0,4,0,3
74.7,1,5,7,0,4738,1100,7,20,1,0,2,4,39,35,0,2,2,93708,2,0,17,0,3,0,23
46.0,4,17,2,0,4123,1100,3,5,0,0,0,0,38,32,0,5,0,61956,2,0,19,0,5,0,16
92.0,4,12,10,0,9475,700,12,12,3,1,0,0,41,41,1,2,9,72282,2,0,7,0,6,3,78
80.0,2,1,2,0,5265,700,15,16,2,1,1,0,42,35,0,1,0,81237,2,1,17,0,0,0,4
42.0,0,0,0,0,11755,15000,3,5,0,0,0,0,32,30,0,0,0,48809,2,0,0,0,0,0,0
